Time,VbattRaw,IbattRaw,Vbatt,Ibatt,V3v3,I3v3,V5v0,I5v0,T3v3,T5v0,Free Memory,Free Disk Space,CPU Temperature,TMP102 Temperature,BME680 Temperature,BME680 Pressure
1722481549.221557,10.857747395833334,0.31681047363281245,10.85205078125,0.2789641357421875,3.3325033629966887,0.054324005126953116,5.071381718279367,0.24661162109374998,29.729956254325998,31.70581311140677,146.05859375,54173.3125,53.154,22.8125,23.11,983.04
1722481554.3373806,10.85205078125,0.31497919921874995,10.857747395833334,0.306433251953125,3.3341242303911423,0.05371362304687499,5.073830478162651,0.24844289550781248,29.781985572916255,31.497949652803527,143.765625,54173.14453125,53.154,22.8125,23.1,983.05
1722481559.4110007,10.869140625,0.27224946289062496,10.863444010416668,0.22768845214843747,3.3243990260244205,0.050051330566406246,5.083625517695784,0.1568791748046875,29.990084942916155,31.653849922918425,143.0390625,54172.97265625,54.23,22.8125,23.1,983.06
1722481564.6645772,10.85205078125,0.34916298828125,10.857747395833334,0.31070622558593747,3.330882495602235,0.05310324096679687,5.0689329583960845,0.25149501953125,29.781985572916255,31.75777451609315,140.4765625,54172.8203125,54.23,22.8125,23.1,983.06
1722481569.7414112,10.857747395833334,0.28506838378906246,10.863444010416668,0.29117263183593745,3.3292616282077816,0.057375915527343745,5.073830478162651,0.17580234374999998,29.834013100885386,31.861691974793757,138.7265625,54172.9921875,54.23,22.8125,23.09,983.06
1722481574.8156188,10.874837239583334,0.32413557128906245,10.840657552083334,0.32352514648437497,3.33736596518005,0.054324005126953116,5.071381718279367,0.2606513916015625,29.729956254325998,31.6018849504444,137.18359375,54172.76953125,54.23,22.8125,23.09,983.04
1722481579.8823717,10.857747395833334,0.27041818847656246,10.863444010416668,0.26492436523437496,3.3292616282077816,0.05249285888671874,5.076279238045934,0.20876528320312498,29.781985572916255,31.653849922918425,135.90625,54172.5546875,54.768,22.8125,23.09,983.06
1722481584.9636703,10.869140625,0.299108154296875,10.8349609375,0.3265772705078125,3.3292616282077816,0.05554476928710937,5.071381718279367,0.2655347900390625,29.938062785700822,31.6018849504444,134.453125,54172.3359375,54.768,22.75,23.09,983.07
1722481590.037352,10.857747395833334,0.32169387207031247,10.85205078125,0.32596684570312495,3.3243990260244205,0.057375915527343745,5.076279238045934,0.24478034667968748,29.8860388384187,31.549918193800522,138.62890625,54172.33984375,54.768,22.8125,23.09,983.07
1722481595.1109922,10.863444010416668,0.2643139404296875,10.85205078125,0.26614521484375,3.326019893418874,0.05371362304687499,5.078727997929217,0.19899848632812497,29.521821070057513,31.497949652803527,136.00390625,54172.1640625,54.768,22.8125,23.09,983.07
