Time,VbattRaw,IbattRaw,Vbatt,Ibatt,V3v3,I3v3,V5v0,I5v0,T3v3,T5v0,Free Memory,Free Disk Space,CPU Temperature,TMP102 Temperature,BME680 Temperature,BME680 Pressure
1722481379.9718177,10.846354166666668,0.31436877441406247,10.857747395833334,0.2789641357421875,3.3211572912355134,0.05371362304687499,5.0811767578125,0.223415478515625,29.677925144929986,31.445979327269242,138.796875,54176.91796875,47.236,22.75,23.12,983.03
1722481385.0359232,10.869140625,0.26492436523437496,10.863444010416668,0.22646760253906248,3.3162946890521523,0.05249285888671874,5.08852303746235,0.1513853515625,29.46978279558857,31.18610092510403,137.8671875,54176.75,48.312,22.75,23.11,983.03
1722481390.1131387,10.85205078125,0.2716390380859375,10.85205078125,0.27774328613281246,3.327640760813328,0.054324005126953116,5.0811767578125,0.223415478515625,29.521821070057513,31.39400721701395,136.4609375,54176.6015625,48.312,22.75,23.11,983.01
1722481395.1956682,10.874837239583334,0.24111779785156248,10.863444010416668,0.30765410156249995,3.322778158629967,0.057375915527343745,5.078727997929217,0.22219462890624997,29.573857552980826,31.134119888484747,133.84765625,54176.41015625,49.388,22.75,23.11,983.02
1722481400.266319,10.85205078125,0.29422475585937496,10.857747395833334,0.29300390624999995,3.3195364238410594,0.04883056640625,5.078727997929217,0.20571315917968747,29.677925144929986,31.445979327269242,132.6171875,54176.578125,49.388,22.75,23.11,983.04
1722481405.3755398,10.85205078125,0.3082645263671875,10.85205078125,0.291783056640625,3.3325033629966887,0.05371362304687499,5.078727997929217,0.25149501953125,29.781985572916255,31.653849922918425,132.09375,54176.35546875,49.388,22.75,23.12,983.04
1722481410.4422777,10.857747395833334,0.28873093261718746,10.85205078125,0.28201625976562494,3.3211572912355134,0.05188247680664062,5.078727997929217,0.20082976074218747,29.729956254325998,31.653849922918425,131.68359375,54176.16015625,50.464,22.75,23.12,983.05
1722481415.5116415,10.846354166666668,0.284457958984375,10.85205078125,0.29117263183593745,3.326019893418874,0.05798629760742187,5.061586678746235,0.22951972656249997,29.261611778554425,31.653849922918425,131.4296875,54175.94921875,49.926,22.75,23.12,983.05
1722481420.5809522,10.857747395833334,0.30032900390624995,10.840657552083334,0.29483518066406245,3.3389868325745033,0.06103820800781249,5.0811767578125,0.18678999023437498,29.625892244543365,31.497949652803527,131.59765625,54175.8671875,49.926,22.75,23.12,983.05
1722481425.656918,10.85205078125,0.28873093261718746,10.85205078125,0.30154985351562497,3.3357450977855962,0.057375915527343745,5.090971797345633,0.2002193359375,29.573857552980826,31.653849922918425,131.79296875,54175.69921875,50.464,22.75,23.12,983.05
1722481430.7329438,10.8349609375,0.3412274658203125,10.846354166666668,0.3082645263671875,3.3292616282077816,0.051272094726562495,5.076279238045934,0.2643139404296875,29.729956254325998,31.342033321853478,132.19140625,54175.52734375,50.464,22.75,23.12,983.05
1722481435.8065217,10.846354166666668,0.31314792480468745,10.8349609375,0.32413557128906245,3.326019893418874,0.051272094726562495,5.073830478162651,0.24600119628906247,29.781985572916255,31.497949652803527,130.49609375,54175.359375,50.464,22.75,23.12,983.05
1722481440.8717878,10.857747395833334,0.28873093261718746,10.869140625,0.29666645507812495,3.3162946890521523,0.05188247680664062,5.078727997929217,0.19899848632812497,29.46978279558857,31.497949652803527,130.04296875,54175.29296875,50.464,22.75,23.12,983.05
1722481445.940682,10.863444010416668,0.26675563964843746,10.85205078125,0.299108154296875,3.326019893418874,0.05676553344726562,5.078727997929217,0.21181740722656248,29.521821070057513,31.6018849504444,129.3984375,54175.07421875,51.54,22.75,23.12,983.06
