Time,MagX,MagY,MagZ,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Tri1,Tri2,Tri3,Latitude,Longitude,Altitude,GPS_Time
2024-07-26T20:57:05.074963,5.373333333333334,-6.306666666666667,-42.85333333333334,-0.6221923828125,-0.371337890625,-0.7412109375,0.4573170731707317,-0.1829268292682927,-0.06097560975609757,0.1935483870967742,0.1935483870967742,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.090569,5.413333333333334,-6.36,-42.84,-0.6182861328125,-0.373291015625,-0.745849609375,0.6097560975609757,0.15243902439024393,0.0,0.1935483870967742,0.1906158357771261,0.1906158357771261,0,0,0,000000
2024-07-26T20:57:05.104651,5.346666666666667,-6.373333333333334,-42.77333333333333,-0.6175537109375,-0.373046875,-0.741943359375,0.3658536585365854,-0.06097560975609757,0.2134146341463415,0.1935483870967742,0.1935483870967742,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.118008,5.36,-6.173333333333334,-42.82666666666667,-0.6202392578125,-0.3701171875,-0.7425537109375,0.5182926829268293,-0.12195121951219513,0.30487804878048785,0.1935483870967742,0.1906158357771261,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.129289,5.586666666666667,-6.48,-42.88,-0.6202392578125,-0.3701171875,-0.7425537109375,0.48780487804878053,0.15243902439024393,0.2134146341463415,0.1935483870967742,0.1906158357771261,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.141042,5.373333333333334,-6.413333333333334,-42.973333333333336,-0.6248779296875,-0.3765869140625,-0.74755859375,0.3658536585365854,-0.12195121951219513,0.06097560975609757,0.1935483870967742,0.1935483870967742,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.153341,5.426666666666667,-6.386666666666667,-42.800000000000004,-0.62060546875,-0.3734130859375,-0.740478515625,0.3353658536585366,-0.15243902439024393,-0.12195121951219513,0.1935483870967742,0.1906158357771261,0.1906158357771261,0,0,0,000000
2024-07-26T20:57:05.166939,5.253333333333334,-6.346666666666667,-42.84,-0.6202392578125,-0.3759765625,-0.74951171875,0.5182926829268293,-0.030487804878048783,0.24390243902439027,0.19648093841642228,0.1935483870967742,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.180582,5.32,-6.333333333333334,-42.82666666666667,-0.6168212890625,-0.37060546875,-0.742919921875,0.8231707317073171,0.24390243902439027,0.09146341463414635,0.19648093841642228,0.1935483870967742,0.1906158357771261,0,0,0,000000
2024-07-26T20:57:05.199256,5.466666666666667,-6.386666666666667,-42.86666666666667,-0.625244140625,-0.3775634765625,-0.7513427734375,0.27439024390243905,-0.5487804878048781,-0.12195121951219513,0.1935483870967742,0.187683284457478,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.219707,5.28,-6.36,-43.013333333333335,-0.6212158203125,-0.3656005859375,-0.7412109375,0.426829268292683,-0.1829268292682927,0.3658536585365854,0.1935483870967742,0.1906158357771261,0.1906158357771261,0,0,0,000000
2024-07-26T20:57:05.245063,5.346666666666667,-6.453333333333334,-42.94666666666667,-0.62060546875,-0.374267578125,-0.7490234375,0.2134146341463415,-0.15243902439024393,0.0,0.17888563049853373,0.18181818181818182,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.263208,5.28,-6.413333333333334,-42.89333333333334,-0.6175537109375,-0.3731689453125,-0.7449951171875,0.3658536585365854,0.24390243902439027,0.15243902439024393,0.1935483870967742,0.1906158357771261,0.1906158357771261,0,0,0,000000
2024-07-26T20:57:05.276712,5.28,-6.413333333333334,-42.89333333333334,-0.619140625,-0.375732421875,-0.7396240234375,0.3658536585365854,0.24390243902439027,0.15243902439024393,0.1935483870967742,0.1906158357771261,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.290975,5.333333333333334,-6.213333333333334,-42.77333333333333,-0.6136474609375,-0.3687744140625,-0.744873046875,0.24390243902439027,-0.030487804878048783,0.030487804878048783,0.19648093841642228,0.187683284457478,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.300907,5.186666666666667,-6.16,-43.21333333333334,-0.6234130859375,-0.36962890625,-0.7451171875,0.426829268292683,0.0,0.27439024390243905,0.19648093841642228,0.1935483870967742,0.1906158357771261,0,0,0,000000
2024-07-26T20:57:05.310807,5.253333333333334,-6.16,-43.093333333333334,-0.6234130859375,-0.36962890625,-0.7451171875,0.4573170731707317,-0.09146341463414635,0.12195121951219513,0.19648093841642228,0.1935483870967742,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.323853,5.333333333333334,-6.386666666666667,-42.84,-0.619873046875,-0.372314453125,-0.74853515625,0.24390243902439027,-0.15243902439024393,-0.09146341463414635,0.19648093841642228,0.1906158357771261,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.336988,5.413333333333334,-6.426666666666667,-42.81333333333333,-0.622314453125,-0.3753662109375,-0.74365234375,0.701219512195122,0.030487804878048783,0.030487804878048783,0.19648093841642228,0.1906158357771261,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.349619,5.32,-6.466666666666667,-42.973333333333336,-0.62060546875,-0.375244140625,-0.7484130859375,0.6402439024390244,-0.030487804878048783,0.030487804878048783,0.19648093841642228,0.1906158357771261,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.362864,5.32,-6.293333333333334,-42.82666666666667,-0.620849609375,-0.3736572265625,-0.7462158203125,0.426829268292683,-0.030487804878048783,0.1829268292682927,0.19648093841642228,0.1935483870967742,0.1906158357771261,0,0,0,000000
2024-07-26T20:57:05.376214,5.493333333333334,-6.373333333333334,-42.88,-0.621337890625,-0.374755859375,-0.746337890625,0.27439024390243905,-0.09146341463414635,-0.12195121951219513,0.19648093841642228,0.1935483870967742,0.1906158357771261,0,0,0,000000
2024-07-26T20:57:05.389319,5.333333333333334,-6.426666666666667,-42.89333333333334,-0.6181640625,-0.3756103515625,-0.7418212890625,0.39634146341463417,0.12195121951219513,0.27439024390243905,0.19648093841642228,0.1906158357771261,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.402082,5.373333333333334,-6.24,-42.906666666666666,-0.61669921875,-0.3734130859375,-0.74755859375,0.7926829268292683,-0.2134146341463415,0.030487804878048783,0.1935483870967742,0.1935483870967742,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.416196,5.36,-6.346666666666667,-42.85333333333334,-0.6175537109375,-0.3709716796875,-0.747802734375,0.39634146341463417,0.12195121951219513,0.030487804878048783,0.1935483870967742,0.1935483870967742,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.429628,5.36,-6.36,-42.84,-0.62158203125,-0.3746337890625,-0.7442626953125,0.6097560975609757,-0.06097560975609757,0.0,0.1935483870967742,0.1906158357771261,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.440948,5.36,-6.36,-42.84,-0.619873046875,-0.379638671875,-0.7474365234375,0.39634146341463417,-0.15243902439024393,-0.06097560975609757,0.1935483870967742,0.1906158357771261,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.454054,5.333333333333334,-6.4,-42.86666666666667,-0.6168212890625,-0.3748779296875,-0.742919921875,0.426829268292683,0.09146341463414635,0.06097560975609757,0.1935483870967742,0.1906158357771261,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.467112,5.36,-6.36,-42.81333333333333,-0.6199951171875,-0.372802734375,-0.737548828125,0.426829268292683,-0.030487804878048783,0.09146341463414635,0.1935483870967742,0.1935483870967742,0.1935483870967742,0,0,0,000000
2024-07-26T20:57:05.480321,5.333333333333334,-6.333333333333334,-42.88,-0.6180419921875,-0.375244140625,-0.744384765625,0.4573170731707317,-0.12195121951219513,0.12195121951219513,0.1935483870967742,0.1935483870967742,0.1935483870967742,0,0,0,000000
