step,A0read,A1read,A2read
0,252,252,272
50,255,255,274
100,254,253,272
150,252,251,271
200,251,250,270
250,252,252,272
300,254,253,273
350,255,255,274
400,255,254,274
450,255,253,272
500,252,251,271
550,251,250,270
600,253,253,273
650,255,254,274
700,255,253,274
750,252,250,273
800,249,243,272
850,233,233,270
900,224,193,271
950,181,43,273
1000,25,7,273
1001,7,7,274
1002,7,7,272
1003,7,6,270
1004,6,6,270
1005,6,7,272
1006,6,6,273
1007,7,6,273
1008,7,7,274
1009,6,6,273
1010,6,6,271
1011,5,6,270
1012,6,6,272
1013,5,6,274
1014,7,5,273
1015,6,6,272
1016,5,6,270
1017,6,6,270
1018,5,6,272
1019,6,5,273
1020,5,6,274
1021,5,5,273
1022,5,5,271
1023,5,5,271
1024,5,5,272
1025,5,5,273
1026,5,5,274
1027,4,4,274
1028,4,5,271
1029,4,4,271
1030,5,5,273
1031,5,5,274
1032,4,4,273
1033,4,4,271
1034,4,4,269
1035,4,5,272
1036,4,4,272
1037,4,4,273
1038,4,4,271
1039,4,4,270
1040,4,4,274
1041,4,4,274
1042,4,4,273
1043,4,4,272
1044,3,4,270
1045,4,4,270
1046,4,3,271
1047,4,4,273
1048,4,3,274
1049,4,4,273
1050,3,4,270
1051,4,3,271
1052,3,4,272
1053,4,4,273
1054,4,3,274
1055,3,4,274
1056,3,3,273
1057,3,3,270
1058,4,3,271
1059,3,3,273
1060,3,3,274
1061,3,3,273
1062,3,3,271
1063,3,3,270
1064,3,3,271
1065,3,3,272
1066,3,3,274
1067,3,3,271
1068,3,3,273
1069,3,3,271
1070,3,3,273
1071,3,3,270
1072,2,2,272
1073,3,3,274
1074,3,3,271
1075,3,2,273
1076,3,3,275
1077,3,3,274
1078,2,2,270
1079,2,3,272
1080,2,3,274
1081,2,2,274
1082,3,3,270
1083,2,2,272
1084,2,3,273
1085,3,3,274
1086,2,3,274
1087,2,3,271
1088,2,2,271
1089,3,2,274
1090,2,2,273
1091,2,2,271
1092,2,2,270
1093,2,2,272
1094,2,3,273
1095,3,3,274
1096,2,2,270
1097,2,2,272
1098,2,2,274
1099,2,2,274
1100,2,2,272
1101,2,2,270
1102,2,2,271
1103,1,2,273
1104,2,2,270
1105,2,2,272
1106,2,2,273
1107,2,2,270
1108,2,2,274
1109,2,3,274
1110,2,2,272
1111,1,2,270
1112,2,3,271
1113,2,2,273
1114,2,2,270
1115,2,2,273
1116,2,2,273
1117,2,2,274
1118,2,2,273
1119,2,2,272
1120,1,2,270
1121,2,1,273
1122,2,2,275
1123,2,2,273
1124,2,2,270
1125,2,2,271
1126,2,2,272
1127,2,3,274
1128,2,2,273
1129,2,2,270
1130,2,2,272
1131,2,2,274
1132,2,1,274
1133,2,1,274
1134,2,2,272
1135,2,1,270
1136,2,2,272
1137,1,2,273
1138,2,2,274
1139,1,2,270
1140,2,2,272
1141,1,2,273
1142,1,2,274
1143,1,2,274
1144,1,1,272
1145,2,2,270
1146,1,2,270
1147,1,1,274
1148,2,2,274
1149,1,1,274
1150,2,2,272
1151,2,1,270
1152,1,1,270
1153,1,1,273
1154,1,2,274
1155,1,1,273
1156,1,2,271
1157,1,2,271
1158,2,1,273
1159,1,2,273
1160,1,2,275
1161,2,1,274
1162,1,1,272
1163,1,2,270
1164,1,1,271
1165,2,1,272
1166,1,1,273
1167,1,1,274
1168,1,2,273
1169,1,2,271
1170,2,2,270
1171,1,2,272
1172,1,2,273
1173,1,2,274
1174,1,2,275
1175,1,1,273
1176,1,1,272
1177,1,1,270
1178,1,1,273
1179,1,1,274
1180,1,1,275
1181,1,1,274
1182,1,1,272
1183,2,1,270
1184,1,2,271
1185,1,1,273
1186,1,2,274
1187,1,1,274
1188,1,1,273
1189,1,1,270
1190,1,1,271
1191,1,1,272
1192,1,1,274
1193,1,2,274
1194,1,1,274
1195,1,1,272
1196,1,1,270
1197,1,1,271
1198,1,1,272
1199,1,1,274
1200,1,2,274
1201,1,1,269
1202,1,1,272
1203,1,1,274
1204,1,1,274
1205,1,1,273
1206,1,2,271
1207,1,1,272
1208,1,1,272
1209,2,2,274
1210,1,1,271
1211,1,1,273
1212,1,1,274
1213,1,1,273
1214,1,1,270
1215,1,1,272
1216,1,1,273
1217,1,2,274
1218,1,1,273
1219,1,2,271
1220,1,1,270
1221,1,1,273
1222,1,1,274
1223,1,1,274
1224,1,1,273
1225,1,1,271
1226,1,2,270
1227,1,1,272
1228,1,1,273
1229,1,1,274
1230,1,1,274
1231,1,2,273
1232,0,1,270
1233,1,1,271
1234,1,1,274
1235,1,1,274
1236,1,2,273
1237,1,1,271
1238,1,1,271
1239,1,1,273
1240,1,1,274
1241,1,1,274
1242,1,2,273
1243,1,0,271
1244,1,1,271
1245,1,1,272
1246,1,1,273
1247,1,2,274
1248,1,1,273
1249,1,1,272
1250,1,1,273
1251,1,1,272
1252,1,1,271
1253,1,1,273
1254,1,1,273
1255,1,1,274
1256,1,1,273
1257,1,1,271
1258,1,1,270
1259,1,1,272
1260,1,1,273
1261,1,1,274
1262,1,1,274
1263,1,1,272
1264,1,1,271
1265,1,1,270
1266,0,1,272
1267,1,1,274
1268,1,1,275
1269,0,1,274
1270,1,1,272
1271,1,1,270
1272,1,1,271
1273,1,1,274
1274,1,1,274
1275,1,1,273
1276,1,1,270
1277,1,1,272
1278,0,1,273
1279,0,1,275
1280,1,0,274
1281,1,1,273
1282,1,1,271
1283,1,1,271
1284,1,1,272
1285,1,1,274
1286,1,1,274
1287,1,1,273
1288,1,1,271
1289,1,0,270
1290,1,1,272
1291,1,1,273
1292,0,1,274
1293,1,1,274
1294,1,1,273
1295,1,1,271
1296,0,1,270
1297,1,1,273
1298,1,1,274
1299,1,1,275
1300,1,1,273
1301,1,0,272
1302,1,2,270
1303,1,1,271
1304,0,0,273
1305,1,1,274
1306,1,1,274
1307,1,1,272
1308,1,1,270
1309,1,1,271
1310,1,1,273
1311,1,1,274
1312,1,1,274
1313,1,1,274
1314,1,1,272
1315,1,1,270
1316,1,1,271
1317,1,1,274
1318,1,0,274
1319,1,1,273
1320,1,1,272
1321,1,1,270
1322,1,1,271
1323,1,1,272
1324,0,1,273
1325,1,1,274
1326,1,1,274
1327,0,1,272
1328,1,1,271
1329,1,1,272
1330,1,1,274
1331,1,1,275
1332,1,1,273
1333,1,1,270
1334,0,1,270
1335,0,1,272
1336,1,1,273
1337,0,1,274
1338,1,1,273
1339,1,1,271
1340,1,0,270
1341,1,1,272
1342,0,1,273
1343,1,0,274
1344,1,0,274
1345,1,1,272
1346,1,1,270
1347,1,1,273
1348,1,1,274
1349,1,1,274
1350,1,1,273
1351,1,1,271
1352,1,0,270
1353,0,1,272
1354,1,1,274
1355,1,1,274
1356,1,1,271
1357,0,1,270
1358,0,1,272
1359,1,1,273
1360,1,1,274
1361,1,1,274
1362,1,1,273
1363,0,1,271
1364,0,1,271
1365,1,1,273
1366,1,0,274
1367,1,1,273
1368,1,1,271
1369,1,1,270
1370,0,1,271
1371,1,1,272
1372,1,1,274
1373,1,1,274
1374,1,0,270
1375,1,0,272
1376,0,1,274
1377,1,1,273
1378,0,1,271
1379,0,1,271
1380,1,1,274
1381,1,0,270
1382,0,1,272
1383,1,0,273
