step,A0read,A1read,A2read
0,137,245,269
50,247,247,271
100,249,249,274
150,250,248,271
200,246,247,271
250,248,248,272
300,249,250,274
350,250,250,275
400,251,250,273
450,248,247,270
500,246,247,271
550,249,248,273
600,250,249,274
650,249,247,272
700,246,244,270
750,244,242,271
800,244,238,272
850,231,223,274
900,209,179,274
950,84,37,274
1000,36,7,272
1001,6,7,270
1002,6,6,272
1003,6,7,274
1004,7,6,274
1005,7,7,274
1006,6,6,272
1007,6,6,270
1008,6,6,272
1009,6,6,273
1010,6,6,274
1011,5,6,272
1012,5,6,270
1013,5,5,271
1014,5,5,273
1015,5,5,273
1016,5,5,274
1017,5,5,274
1018,5,6,272
1019,5,5,270
1020,5,5,270
1021,5,5,272
1022,5,5,274
1023,5,5,273
1024,4,5,272
1025,5,4,270
1026,4,4,271
1027,5,4,273
1028,4,5,274
1029,5,4,274
1030,4,4,274
1031,4,5,271
1032,4,4,270
1033,4,3,272
1034,4,5,273
1035,4,4,274
1036,4,4,271
1037,4,4,270
1038,4,4,272
1039,4,4,273
1040,4,3,274
1041,4,4,273
1042,3,4,271
1043,3,3,269
1044,3,4,272
1045,4,3,273
1046,3,3,274
1047,4,3,274
1048,3,3,273
1049,3,4,271
1050,3,4,270
1051,3,3,271
1052,3,3,273
1053,3,3,274
1054,3,3,274
1055,3,3,272
1056,3,3,270
1057,3,3,271
1058,3,3,272
1059,3,3,273
1060,3,3,274
1061,3,3,273
1062,3,3,270
1063,3,2,271
1064,3,3,272
1065,3,3,274
1066,3,3,274
1067,3,3,273
1068,3,3,271
1069,3,3,270
1070,3,2,271
1071,3,2,272
1072,2,3,274
1073,3,3,274
1074,3,2,271
1075,2,3,271
1076,2,2,274
1077,2,3,274
1078,3,2,272
1079,2,3,271
1080,2,3,272
1081,2,3,272
1082,3,3,274
1083,2,3,274
1084,3,2,272
1085,2,3,271
1086,2,2,269
1087,2,3,272
1088,2,2,274
1089,2,3,272
1090,2,2,269
1091,2,2,271
1092,2,2,272
1093,2,2,274
1094,2,3,274
1095,2,2,271
1096,2,2,269
1097,2,2,271
1098,2,2,274
1099,2,2,274
1100,2,3,274
1101,2,2,271
1102,2,2,270
1103,2,2,271
1104,2,2,272
1105,2,2,274
1106,2,2,274
1107,2,2,274
1108,2,2,269
1109,1,2,271
1110,2,2,273
1111,2,2,274
1112,2,2,274
1113,2,2,273
1114,2,2,270
1115,2,2,271
