step,A0read,A1read,A2read
0,86,254,274
50,254,253,272
100,252,251,270
150,252,252,272
200,255,254,273
250,256,255,275
300,256,255,274
350,255,254,273
400,253,251,271
450,251,251,270
500,252,252,271
550,253,253,273
600,255,255,274
650,256,255,275
700,255,254,274
750,252,251,272
800,249,242,270
850,241,225,270
900,215,181,272
950,182,42,273
1000,25,7,275
1001,7,7,275
1002,7,7,274
1003,7,6,272
1004,6,6,270
1005,6,7,271
1006,6,6,272
1007,6,6,273
1008,6,6,274
1009,6,6,274
1010,6,6,273
1011,6,6,271
1012,6,6,270
1013,5,5,271
1014,5,5,273
1015,5,5,273
1016,5,5,274
1017,6,5,275
1018,5,5,272
1019,5,5,271
1020,5,5,270
1021,5,5,271
1022,6,5,273
1023,5,5,274
1024,5,5,274
1025,4,5,274
1026,5,5,273
1027,4,5,271
1028,4,5,270
1029,4,4,272
1030,4,4,273
1031,4,4,275
1032,4,4,274
1033,4,4,273
1034,4,4,272
1035,4,4,270
1036,4,4,271
1037,3,4,274
1038,4,4,274
1039,4,4,272
1040,4,4,270
1041,4,4,271
1042,3,4,272
1043,4,4,274
1044,4,3,274
1045,4,3,275
1046,4,4,273
1047,4,3,271
1048,4,4,270
1049,3,4,271
1050,3,3,272
1051,3,3,273
1052,4,3,274
1053,3,3,274
1054,3,3,273
1055,3,3,271
1056,3,3,270
1057,3,3,272
1058,3,3,272
1059,3,3,274
1060,3,3,274
1061,3,3,274
1062,3,3,272
1063,3,3,270
1064,2,3,270
1065,3,3,272
1066,2,3,273
1067,3,3,274
1068,3,3,274
1069,3,3,274
1070,3,3,272
1071,3,3,270
1072,3,3,270
1073,3,3,272
1074,2,3,273
1075,2,3,274
1076,2,3,274
1077,3,2,274
1078,2,2,272
1079,2,3,270
1080,2,2,271
1081,3,2,272
1082,2,3,273
1083,3,3,274
1084,2,2,274
1085,2,2,274
1086,2,2,271
1087,2,2,270
1088,2,2,271
1089,2,3,272
1090,2,2,273
1091,3,3,274
1092,2,2,275
1093,3,3,273
1094,2,2,271
1095,2,2,270
1096,2,2,272
1097,2,2,273
1098,2,2,274
1099,2,2,274
1100,2,2,272
1101,2,2,270
1102,2,2,270
1103,2,2,272
1104,2,2,273
1105,2,2,274
1106,2,2,275
1107,2,2,274
1108,2,1,272
1109,2,2,270
1110,2,2,270
1111,2,2,272
1112,2,2,274
1113,2,2,274
1114,2,2,274
1115,2,2,273
1116,1,2,272
1117,2,2,270
1118,2,1,271
1119,1,1,273
1120,1,1,274
1121,1,2,274
1122,2,2,274
1123,2,2,273
1124,2,2,271
1125,1,2,270
1126,2,2,271
1127,1,1,273
1128,2,1,273
1129,1,2,275
1130,2,2,274
1131,2,2,273
1132,1,2,271
1133,2,1,270
1134,2,1,272
1135,1,1,273
1136,2,1,274
1137,2,1,274
1138,1,2,274
1139,1,2,273
1140,1,2,270
1141,1,2,270
1142,1,2,272
1143,1,1,273
1144,1,1,274
1145,1,1,274
1146,1,1,274
1147,1,2,272
1148,1,2,270
1149,2,1,271
1150,1,1,272
1151,1,1,273
1152,1,1,274
1153,1,1,275
1154,1,2,273
1155,1,1,272
1156,1,1,270
1157,1,1,271
1158,1,1,273
1159,1,2,275
1160,1,1,274
1161,1,2,273
