step,A0read,A1read,A2read
0,0,147,266
50,159,159,266
100,157,157,263
150,156,155,264
200,158,158,266
250,159,159,267
300,160,159,267
350,157,156,263
400,155,156,264
450,157,157,266
500,159,159,267
550,159,158,266
600,157,155,264
650,157,157,266
700,156,154,263
750,155,152,267
800,147,142,267
850,110,108,263
900,71,35,264
950,35,7,266
1000,5,3,267
1001,3,3,264
1002,3,3,267
1003,3,3,265
1004,3,3,267
1005,3,3,266
1006,2,3,263
1007,3,3,266
1008,2,3,263
1009,2,3,265
1010,2,3,267
1011,3,3,267
1012,2,3,264
1013,2,2,264
1014,2,3,267
1015,2,3,264
1016,2,2,265
1017,2,2,267
1018,3,2,267
1019,2,2,265
1020,2,2,264
1021,2,2,266
1022,2,2,267
1023,2,2,265
1024,2,2,263
1025,2,2,264
1026,2,2,267
1027,2,2,266
1028,2,2,263
1029,2,2,265
1030,2,2,267
1031,2,3,265
1032,2,2,265
1033,2,2,267
1034,2,2,264
1035,2,2,265
1036,2,3,267
1037,2,2,267
1038,2,2,263
1039,2,2,266
1040,1,2,267
1041,1,2,266
1042,1,2,264
1043,2,2,264
1044,1,2,263
1045,2,2,265
1046,2,2,267
1047,1,3,267
1048,2,2,267
1049,2,2,267
1050,2,2,263
1051,2,2,264
1052,2,2,267
1053,1,2,267
1054,1,2,267
1055,1,2,264
1056,1,1,265
1057,1,2,267
1058,1,1,267
1059,1,2,266
1060,1,1,263
1061,2,1,265
1062,1,2,266
1063,2,2,267
1064,1,1,264
1065,1,1,265
1066,1,1,266
1067,1,2,267
1068,1,2,265
1069,1,2,263
1070,1,1,265
1071,1,2,267
1072,1,1,267
1073,1,2,265
1074,1,1,264
1075,1,2,265
1076,1,1,266
1077,1,1,267
1078,1,1,266
1079,1,1,264
1080,1,2,263
1081,1,2,268
1082,1,1,267
1083,1,2,265
1084,1,2,265
1085,1,1,267
1086,1,1,265
1087,1,2,266
1088,1,2,267
1089,1,2,267
1090,1,1,267
1091,1,2,266
1092,1,1,264
1093,1,2,263
1094,1,1,265
1095,1,1,267
1096,1,1,263
1097,1,1,267
1098,1,1,267
1099,1,1,267
1100,1,2,264
1101,1,1,265
1102,1,2,267
1103,1,2,267
1104,1,1,265
1105,1,0,263
1106,1,0,265
1107,1,1,267
1108,1,1,267
1109,1,1,264
1110,1,1,265
1111,1,1,267
1112,1,1,263
1113,1,1,264
1114,1,1,267
1115,1,1,267
1116,1,1,265
1117,1,1,267
1118,0,1,265
1119,1,1,265
1120,1,1,267
1121,1,1,263
1122,1,1,266
1123,1,1,267
1124,1,1,265
1125,1,1,264
1126,1,1,267
1127,1,1,268
1128,1,1,266
1129,1,1,263
1130,1,1,265
1131,0,1,267
1132,1,1,266
1133,1,1,264
1134,1,1,267
1135,1,1,265
1136,1,1,264
1137,1,1,264
1138,1,1,266
1139,1,1,267
1140,1,1,267
1141,0,0,265
1142,1,1,264
1143,1,1,266
1144,1,1,267
1145,1,0,266
1146,1,1,264
1147,1,1,263
1148,1,1,265
1149,0,1,267
1150,1,1,263
1151,0,1,264
1152,1,1,267
1153,0,1,267
1154,1,1,267
1155,0,1,264
1156,0,0,264
1157,0,0,264
1158,1,1,266
1159,0,1,264
1160,1,1,264
1161,0,1,266
1162,0,1,266
1163,1,1,267
1164,0,1,267
1165,0,1,266
1166,0,1,265
1167,1,1,265
1168,1,0,267
1169,1,1,267
1170,1,0,266
1171,1,1,264
1172,1,0,266
1173,1,1,267
1174,1,1,267
1175,1,1,263
1176,1,1,264
1177,0,1,267
1178,1,1,267
1179,0,1,267
1180,0,1,263
1181,0,1,265
1182,1,0,267
1183,0,1,267
1184,1,1,267
1185,1,1,265
1186,1,1,263
1187,0,1,265
1188,0,1,265
1189,1,1,267
1190,0,1,267
1191,1,1,267
1192,0,0,265
1193,0,1,263
1194,1,0,264
1195,0,1,266
1196,0,0,267
1197,0,1,264
1198,0,1,265
1199,1,0,268
1200,1,0,267
1201,1,1,264
1202,0,1,266
1203,1,1,267
1204,0,1,264
1205,1,1,263
1206,0,0,265
1207,0,0,267
1208,1,1,267
1209,0,0,265
1210,0,1,266
1211,0,1,263
1212,1,1,265
1213,0,0,267
1214,0,1,267
1215,1,0,264
1216,1,0,264
1217,0,1,267
1218,0,1,267
1219,0,1,267
1220,1,1,265
1221,0,1,263
1222,1,0,264
1223,0,0,265
1224,0,1,267
1225,0,1,267
1226,1,1,266
1227,0,0,264
1228,0,1,263
1229,0,1,264
1230,1,1,267
1231,0,0,266
1232,0,0,263
1233,0,1,265
1234,0,0,267
1235,0,0,267
1236,1,0,265
1237,1,0,263
1238,1,0,266
1239,0,1,267
1240,0,0,267
1241,0,0,266
1242,1,1,263
1243,0,1,266
1244,0,1,267
1245,0,1,264
1246,1,1,263
1247,1,1,265
1248,1,0,266
1249,1,1,267
1250,0,0,266
1251,0,1,267
1252,0,1,267
1253,0,0,266
1254,1,1,264
1255,1,1,267
1256,0,0,267
1257,0,1,264
1258,0,1,264
1259,0,0,265
1260,1,0,266
1261,1,0,267
1262,0,1,264
1263,1,1,263
1264,0,0,264
1265,0,1,265
1266,0,0,266
1267,0,1,267
1268,0,1,267
1269,1,0,264
1270,0,1,263
1271,0,0,265
1272,0,0,267
1273,0,1,266
1274,0,0,265
1275,0,1,263
1276,0,1,263
1277,0,1,265
1278,1,0,266
1279,0,1,266
1280,0,1,267
1281,0,1,266
1282,0,0,264
1283,0,1,263
1284,0,1,264
1285,1,0,265
1286,0,0,266
1287,0,0,267
1288,0,1,267
1289,0,0,266
1290,0,1,267
1291,0,1,263
1292,1,0,264
1293,0,1,266
1294,0,0,267
1295,0,0,267
1296,0,0,267
1297,1,0,264
1298,0,1,267
1299,1,1,266
1300,0,0,264
1301,0,1,266
1302,0,1,267
1303,0,0,267
1304,0,0,265
1305,0,1,263
1306,0,1,265
1307,0,0,266
1308,0,1,267
1309,0,1,264
1310,0,1,266
1311,0,0,267
1312,0,0,265
1313,0,1,263
1314,0,0,264
1315,0,1,265
1316,0,1,264
1317,0,1,266
1318,0,0,267
1319,0,0,265
1320,1,0,263
1321,0,1,266
1322,0,0,267
1323,0,0,268
1324,0,1,265
1325,0,1,264
1326,0,0,264
1327,0,0,266
1328,0,1,267
1329,0,0,267
1330,0,1,266
1331,0,0,264
1332,0,0,266
1333,0,1,266
1334,0,1,267
1335,0,0,264
1336,0,0,264
1337,0,0,265
1338,0,1,267
1339,0,0,265
1340,0,0,265
1341,0,1,266
1342,0,1,267
1343,0,1,264
1344,0,0,263
1345,0,1,267
1346,0,1,267
1347,0,0,263
1348,0,1,265
1349,0,0,267
1350,0,0,267
1351,0,0,264
1352,0,0,263
1353,0,0,266
1354,0,1,267
1355,0,0,267
1356,0,0,264
1357,0,0,264
1358,0,1,267
1359,0,1,267
1360,0,1,264
1361,0,0,265
1362,0,0,266
1363,1,0,265
1364,0,0,267
1365,0,0,267
1366,0,1,266
1367,0,1,264
1368,0,1,263
1369,0,0,264
1370,0,1,266
1371,1,0,267
1372,0,1,267
1373,0,0,267
1374,0,1,266
1375,1,0,264
1376,0,0,264
1377,0,0,265
1378,1,1,266
1379,0,0,267
1380,0,0,267
1381,0,0,267
1382,0,0,267
1383,0,0,267
1384,1,1,267
1385,0,1,267
1386,1,1,264
1387,0,1,264
1388,0,1,267
1389,0,0,267
1390,0,0,265
1391,0,0,267
1392,0,1,266
1393,0,0,267
1394,0,0,266
1395,0,1,264
1396,0,0,264
1397,0,0,267
1398,0,0,264
1399,0,1,264
1400,0,0,267
1401,0,0,266
1402,0,1,264
1403,0,0,265
1404,1,0,267
1405,0,1,266
1406,0,1,263
1407,0,0,264
1408,0,0,268
1409,0,0,266
1410,0,1,266
1411,0,0,267
1412,0,0,267
1413,0,1,263
1414,1,1,266
1415,0,0,267
1416,0,1,265
1417,0,0,263
1418,0,0,264
1419,0,1,263
1420,0,0,266
1421,0,0,267
1422,0,1,265
1423,0,1,265
1424,0,0,263
1425,0,0,265
1426,0,0,266
1427,0,0,267
1428,0,0,267
1429,0,0,267
1430,0,0,265
1431,0,0,263
1432,0,0,268
1433,0,1,265
1434,0,1,263
1435,1,0,264
1436,0,0,266
1437,0,1,267
1438,0,1,267
1439,0,0,266
1440,0,1,264
1441,0,0,266
1442,0,1,266
1443,0,-1,267
1444,0,-1,266
1445,0,-1,265
1446,-1,0,267
1447,0,-1,265
1448,0,-1,264
1449,-1,0,266
1450,-1,-1,267
1451,-1,-1,267
1452,0,0,266
1453,0,-1,267
1454,0,0,265
1455,0,-1,264
1456,0,0,266
1457,0,0,266
1458,0,0,263
1459,-1,0,264
1460,0,0,265
1461,0,1,267
1462,0,0,267
1463,0,1,266
1464,0,0,268
1465,0,0,266
1466,0,1,264
1467,0,0,265
1468,0,1,267
1469,0,0,265
1470,0,1,267
1471,1,0,268
1472,0,0,267
1473,0,0,265
1474,0,0,266
1475,0,0,267
1476,0,0,267
1477,0,1,265
1478,0,0,264
1479,0,1,263
1480,0,0,263
1481,0,1,265
1482,0,1,267
1483,0,1,267
1484,0,0,264
1485,0,0,265
1486,0,0,267
1487,0,1,266
1488,0,1,263
1489,0,0,265
1490,0,0,264
1491,0,0,265
1492,0,1,267
1493,0,1,267
1494,0,0,266
1495,0,0,267
1496,0,0,264
1497,0,0,266
1498,0,0,267
1499,0,1,267
1500,1,0,265
1501,0,1,263
1502,0,0,267
1503,0,0,267
1504,0,0,265
1505,0,0,263
1506,0,0,265
1507,0,0,263
1508,0,1,266
1509,0,0,267
1510,0,1,265
1511,0,0,266
1512,0,0,264
1513,0,1,266
1514,0,0,265
1515,0,0,263
1516,0,1,264
1517,0,0,266
1518,0,0,267
1519,0,1,263
1520,0,0,266
1521,0,1,265
1522,0,0,267
1523,0,0,267
1524,0,1,266
1525,0,0,264
1526,0,1,266
1527,0,1,267
1528,0,1,267
1529,0,0,266
1530,0,0,267
1531,0,1,264
1532,0,1,264
1533,0,1,267
1534,0,1,266
1535,0,0,264
1536,0,1,263
1537,0,0,265
1538,0,0,267
1539,0,0,267
1540,0,0,266
1541,0,0,263
1542,0,1,265
1543,0,0,266
1544,0,1,267
1545,0,0,265
1546,0,1,265
1547,0,1,266
1548,0,0,263
1549,0,1,264
1550,0,1,266
1551,0,0,267
1552,0,0,265
1553,0,0,263
1554,0,0,266
1555,0,0,265
1556,0,0,264
1557,0,0,266
1558,0,0,267
1559,1,1,267
1560,0,0,265
1561,0,1,263
1562,0,0,264
1563,0,1,266
1564,0,0,267
1565,0,0,267
1566,0,0,267
1567,0,1,266
1568,0,1,263
1569,0,1,267
1570,0,1,267
1571,0,1,265
1572,0,1,265
1573,0,0,267
1574,0,0,267
1575,0,0,265
1576,0,0,265
1577,0,0,264
1578,0,0,265
1579,0,0,267
1580,0,0,266
1581,0,0,264
1582,0,0,266
1583,0,0,267
1584,0,0,264
1585,0,0,264
1586,0,0,264
1587,0,0,266
1588,0,1,263
1589,0,1,267
1590,0,1,266
1591,0,1,263
1592,0,1,265
1593,0,0,264
1594,0,1,265
1595,0,1,267
1596,0,0,267
1597,0,1,267
1598,0,0,266
1599,0,1,267
1600,0,0,267
1601,0,1,266
1602,0,1,267
1603,0,0,267
1604,0,0,263
1605,0,1,265
1606,0,0,268
1607,0,1,266
1608,0,1,263
1609,0,1,266
1610,0,1,267
1611,0,0,266
1612,0,1,263
1613,0,0,264
1614,0,1,264
1615,0,1,266
1616,0,0,265
1617,0,0,264
1618,0,1,266
1619,0,1,267
1620,0,1,264
1621,0,0,264
1622,0,1,267
1623,0,0,268
1624,0,0,264
1625,0,0,265
1626,0,0,267
1627,0,0,267
1628,0,0,265
1629,0,1,265
1630,0,0,267
1631,0,1,267
1632,0,0,264
1633,0,0,267
1634,0,1,267
1635,0,0,265
1636,0,0,263
1637,0,1,266
1638,0,1,267
1639,0,1,267
1640,0,0,266
1641,0,0,264
1642,0,1,263
1643,1,0,265
1644,0,1,267
1645,0,0,267
1646,0,1,266
1647,0,1,267
1648,0,0,265
1649,0,0,265
1650,0,0,267
1651,0,0,265
1652,0,0,264
1653,0,0,265
1654,0,1,264
1655,0,0,266
1656,0,1,267
1657,0,1,266
1658,0,1,264
1659,0,1,264
1660,0,0,265
1661,0,1,267
1662,0,0,267
1663,0,0,265
1664,0,0,264
1665,0,0,267
1666,0,0,267
1667,0,1,265
1668,0,1,264
1669,0,1,266
1670,0,1,267
1671,0,0,267
1672,0,0,266
1673,0,0,263
1674,0,0,264
1675,0,0,266
1676,0,1,267
1677,0,1,265
1678,0,1,263
1679,0,1,265
1680,0,0,267
1681,0,0,267
1682,0,0,264
1683,0,0,265
1684,0,1,266
1685,0,1,267
1686,0,0,265
1687,0,1,263
1688,0,1,267
1689,0,1,267
1690,0,0,267
1691,0,1,263
1692,0,0,265
1693,0,0,263
1694,0,1,266
1695,0,0,267
1696,0,0,265
1697,0,1,266
1698,0,1,267
1699,0,0,267
1700,0,0,264
1701,0,0,264
1702,0,0,264
1703,0,0,266
1704,0,0,264
1705,0,0,266
1706,0,1,267
1707,0,1,267
1708,0,0,267
1709,0,0,263
1710,0,0,267
1711,0,0,263
1712,0,0,264
1713,0,0,267
1714,0,0,264
1715,0,1,264
1716,0,0,267
1717,0,0,266
1718,0,0,267
1719,0,0,265
1720,0,0,266
1721,0,0,263
1722,0,0,265
1723,0,0,267
1724,0,0,265
1725,0,0,263
1726,0,0,265
1727,0,1,266
1728,0,0,267
1729,0,1,267
1730,0,0,264
1731,0,0,265
1732,0,0,267
1733,0,1,264
1734,0,0,263
1735,0,1,264
1736,0,0,265
1737,0,0,267
1738,0,0,268
1739,0,1,266
1740,0,0,264
1741,0,1,263
1742,0,1,266
1743,0,1,267
1744,1,1,267
1745,0,0,267
1746,0,0,265
1747,0,1,263
1748,0,0,264
1749,0,0,265
1750,0,0,264
1751,0,0,263
1752,0,1,265
1753,0,0,266
1754,0,0,267
1755,0,0,267
1756,0,0,265
1757,0,0,263
1758,0,0,267
1759,0,0,266
1760,0,1,264
1761,0,1,263
1762,0,0,265
1763,0,0,266
1764,1,1,267
1765,0,0,267
1766,0,0,268
1767,0,1,263
1768,0,1,266
1769,0,0,264
1770,0,0,266
1771,0,0,267
1772,0,0,263
1773,0,0,265
1774,0,0,266
1775,0,0,264
1776,0,0,263
1777,0,1,265
1778,0,0,265
1779,0,1,263
1780,0,0,264
1781,0,0,266
1782,0,0,267
1783,0,0,265
1784,0,0,265
1785,0,1,267
1786,0,1,267
1787,0,0,263
1788,0,0,266
1789,0,0,267
1790,0,1,266
1791,0,1,263
1792,0,0,266
1793,0,0,268
1794,0,0,265
1795,0,0,267
1796,0,0,266
1797,0,0,263
1798,0,1,265
1799,0,0,267
1800,0,0,267
1801,0,0,265
1802,0,0,266
1803,0,0,267
1804,0,1,264
1805,0,1,267
1806,0,1,266
1807,0,0,263
1808,0,1,266
1809,0,0,267
1810,0,0,264
1811,0,0,267
1812,0,0,265
1813,0,0,265
1814,0,0,267
1815,0,0,268
1816,0,0,265
1817,0,1,264
1818,0,0,266
1819,0,1,267
1820,0,1,266
1821,0,0,265
1822,0,1,267
1823,0,0,267
1824,0,1,265
1825,0,1,263
1826,1,1,264
1827,0,0,266
1828,0,0,268
1829,0,0,266
1830,0,0,263
1831,0,0,267
1832,0,0,267
1833,0,0,264
1834,0,1,266
1835,0,0,267
1836,0,0,263
1837,0,1,266
1838,0,0,268
1839,0,0,267
1840,0,0,266
1841,0,0,265
1842,0,0,266
1843,0,0,267
1844,0,0,267
1845,0,0,267
1846,0,1,264
1847,0,1,264
1848,1,1,265
1849,0,0,266
1850,0,0,268
1851,0,1,267
1852,0,0,268
1853,0,1,267
1854,0,0,265
1855,0,0,263
1856,0,1,265
1857,1,0,267
1858,0,0,268
1859,0,0,268
1860,0,0,266
1861,0,1,265
1862,0,0,264
1863,0,1,264
1864,0,1,266
1865,0,0,267
1866,0,0,268
1867,0,0,267
1868,0,0,266
1869,0,0,263
1870,0,0,264
1871,0,1,266
1872,0,0,267
1873,0,1,268
1874,0,0,266
1875,0,0,264
1876,0,0,263
1877,0,0,266
1878,0,0,267
1879,0,0,267
1880,0,1,268
1881,0,0,267
1882,0,0,266
1883,0,0,263
1884,0,0,264
1885,0,0,265
1886,0,1,267
1887,0,0,268
1888,0,0,267
1889,0,0,266
1890,0,0,264
1891,0,0,267
1892,0,0,267
1893,1,0,267
1894,0,0,265
1895,0,0,263
1896,0,0,265
1897,1,0,266
1898,0,1,267
1899,0,0,268
1900,0,0,267
1901,0,1,266
1902,0,0,264
1903,0,0,264
1904,0,0,265
1905,0,0,266
1906,0,-1,267
1907,0,0,268
1908,0,0,267
1909,0,1,265
