step,A0read,A1read,A2read
0,249,249,274
50,251,250,275
100,251,250,274
150,249,249,272
200,247,247,271
250,246,246,272
300,248,249,273
350,250,250,274
400,251,251,275
450,251,250,274
500,250,248,272
550,247,247,270
600,246,246,271
650,249,248,273
700,249,248,274
750,248,247,275
800,248,241,274
850,233,224,273
900,199,175,272
950,174,34,270
1000,29,7,273
1001,7,7,274
1002,6,7,275
1003,6,7,275
1004,6,7,273
1005,6,6,272
1006,6,6,270
1007,6,6,272
1008,6,5,274
1009,6,6,275
1010,6,6,274
1011,5,6,270
1012,6,5,273
1013,5,5,275
1014,5,5,271
1015,5,5,275
1016,5,5,275
1017,5,5,272
1018,4,5,274
1019,5,5,274
1020,5,5,271
1021,5,4,272
1022,5,5,273
1023,4,5,275
1024,4,5,275
1025,4,5,272
1026,4,5,274
1027,4,5,274
1028,4,4,272
1029,4,4,270
1030,4,4,273
1031,4,4,274
1032,4,4,273
1033,4,4,270
1034,4,4,272
1035,4,4,274
1036,4,4,275
1037,4,5,275
1038,3,3,273
1039,4,3,271
1040,4,3,270
1041,3,4,273
1042,3,3,274
1043,4,4,275
1044,3,4,274
1045,3,4,272
1046,4,3,270
1047,3,4,271
1048,3,4,273
1049,3,3,274
1050,3,4,275
1051,3,3,274
1052,3,3,272
1053,3,3,271
1054,3,3,272
1055,4,3,273
1056,3,3,274
1057,4,3,275
1058,3,3,275
1059,3,3,272
1060,3,3,271
1061,3,3,272
1062,3,3,275
1063,3,3,272
1064,3,3,271
1065,3,3,273
1066,3,3,275
1067,3,3,275
1068,2,2,273
1069,3,3,271
1070,2,3,271
1071,3,3,273
1072,3,3,274
1073,2,4,275
1074,3,2,275
1075,2,3,274
1076,2,3,272
1077,3,3,270
1078,2,3,272
1079,2,2,273
1080,3,3,275
1081,2,3,274
1082,3,2,271
1083,2,2,272
1084,2,3,273
1085,2,3,274
1086,3,3,275
1087,2,3,274
1088,2,2,273
1089,2,2,271
1090,2,2,272
1091,2,2,273
1092,2,1,274
1093,2,2,275
1094,2,2,275
1095,2,2,273
1096,2,2,272
1097,2,2,271
1098,2,2,273
1099,2,2,274
1100,2,3,275
1101,2,2,275
1102,2,2,273
1103,2,1,270
1104,2,2,271
1105,2,1,274
1106,2,2,275
1107,2,2,275
1108,2,1,273
1109,2,2,272
1110,2,1,271
1111,2,2,273
1112,2,2,273
1113,2,2,275
1114,2,2,275
1115,2,1,273
1116,2,2,271
1117,1,2,272
1118,1,2,273
1119,2,2,274
1120,1,2,275
1121,1,2,275
1122,2,1,273
1123,2,1,271
1124,1,2,271
1125,1,1,273
1126,2,2,274
1127,1,2,272
1128,1,2,275
1129,1,2,275
1130,1,1,274
1131,1,2,272
1132,1,1,270
1133,1,1,271
1134,1,1,273
1135,1,1,274
1136,1,2,275
1137,1,1,273
1138,2,2,271
1139,1,1,271
1140,1,1,273
1141,1,1,274
1142,1,1,275
1143,1,1,274
1144,1,1,271
1145,2,1,272
1146,1,2,274
1147,1,2,275
1148,1,1,275
1149,1,1,273
1150,1,1,271
1151,1,1,270
1152,1,1,272
1153,1,1,273
1154,1,1,275
1155,1,2,275
1156,1,2,274
1157,2,1,273
1158,1,1,271
1159,1,1,272
1160,1,2,273
1161,1,2,274
1162,1,2,275
1163,1,2,274
1164,2,2,273
1165,1,2,271
1166,1,1,272
1167,1,1,274
1168,1,2,275
1169,1,1,275
1170,1,2,272
1171,1,1,274
1172,1,1,275
1173,1,1,275
1174,1,1,272
1175,1,1,271
1176,1,1,272
1177,1,1,273
1178,1,1,275
1179,1,1,272
1180,1,2,270
1181,1,1,274
1182,1,1,273
1183,1,1,271
1184,1,1,272
1185,1,1,274
1186,1,1,275
1187,1,1,274
1188,1,1,273
1189,1,1,270
1190,1,1,272
1191,1,1,273
1192,1,1,275
1193,1,2,275
1194,1,1,274
1195,1,1,272
1196,1,1,275
1197,1,1,275
1198,1,1,273
1199,1,2,270
1200,1,1,272
1201,1,1,273
1202,1,1,274
1203,1,1,275
1204,1,1,273
1205,1,1,271
1206,1,1,272
1207,0,1,273
1208,1,1,274
1209,1,1,275
1210,1,2,275
1211,1,1,273
1212,1,1,271
1213,1,0,272
1214,1,1,274
1215,1,1,275
1216,1,1,274
1217,1,1,273
1218,1,1,270
1219,1,2,272
1220,1,1,273
1221,1,1,274
1222,1,1,275
1223,1,1,275
1224,1,1,273
1225,0,1,271
1226,0,0,271
1227,1,1,273
1228,1,1,274
1229,1,0,275
1230,0,1,275
1231,1,2,273
1232,1,1,272
1233,1,1,270
1234,1,1,272
1235,1,1,274
1236,1,0,275
1237,1,1,275
1238,0,1,271
1239,1,1,271
1240,1,1,273
1241,1,1,274
1242,1,1,275
1243,1,1,275
1244,1,2,274
1245,1,1,271
1246,1,1,272
1247,1,1,275
1248,1,1,275
1249,1,1,273
1250,1,1,271
1251,1,0,272
1252,1,1,274
1253,1,1,275
1254,1,0,275
1255,1,1,273
1256,1,1,271
1257,1,0,273
1258,1,0,275
1259,0,1,273
1260,1,0,271
1261,1,1,271
1262,1,1,273
1263,1,1,274
1264,1,1,275
1265,1,1,275
1266,1,1,272
1267,1,1,271
1268,1,0,272
1269,1,1,273
1270,0,0,274
1271,1,0,275
1272,1,1,274
1273,1,1,272
1274,1,1,272
1275,1,1,274
1276,1,1,275
1277,1,1,275
1278,1,0,271
1279,1,0,271
1280,1,0,273
1281,1,1,274
1282,1,0,275
1283,1,1,275
1284,1,1,274
1285,0,1,272
1286,1,0,270
1287,1,1,272
1288,0,0,274
1289,1,1,275
1290,1,1,275
1291,1,0,275
1292,1,1,273
1293,1,1,271
1294,1,1,273
1295,0,1,275
1296,1,0,273
1297,1,0,271
1298,1,1,272
1299,1,1,273
1300,1,0,274
1301,0,1,275
1302,1,0,275
1303,1,0,274
