step,A0read,A1read,A2read
0,132,265,285
50,267,266,286
100,266,264,283
150,263,262,282
200,264,264,283
250,266,265,285
300,267,266,285
350,267,265,285
400,266,265,284
450,265,263,282
500,262,262,282
550,264,264,284
600,265,265,284
650,266,265,285
700,266,264,286
750,265,263,285
800,259,255,283
850,254,239,282
900,238,217,283
950,137,64,284
1000,66,9,285
1001,9,9,286
1002,9,8,286
1003,9,7,285
1004,8,7,283
1005,8,8,282
1006,8,7,283
1007,8,7,284
1008,7,7,285
1009,7,7,286
1010,7,7,286
1011,7,7,285
1012,7,6,282
1013,7,6,282
1014,7,6,286
1015,7,6,286
1016,7,6,285
1017,6,6,283
1018,6,6,281
1019,6,6,283
1020,6,5,284
1021,6,6,285
1022,6,6,286
1023,6,5,285
1024,6,6,284
1025,6,6,283
1026,6,5,282
1027,6,5,283
1028,6,5,285
1029,6,5,286
1030,6,6,286
1031,5,5,286
1032,5,5,283
1033,5,4,282
1034,5,4,281
1035,5,4,283
1036,5,5,285
1037,5,5,285
1038,5,4,283
1039,4,4,282
1040,5,4,283
1041,5,4,285
1042,5,5,286
1043,5,5,286
1044,5,5,285
1045,4,4,284
1046,4,4,282
1047,4,3,282
1048,4,4,284
1049,5,4,284
1050,4,4,285
1051,4,3,286
1052,4,3,285
1053,4,4,283
1054,4,4,282
1055,4,4,282
1056,4,4,283
1057,4,3,284
1058,5,3,285
1059,4,4,286
1060,4,4,285
1061,3,4,283
1062,4,3,281
1063,4,3,283
1064,4,3,283
1065,4,4,285
1066,4,3,286
1067,3,3,286
1068,4,3,284
1069,4,3,283
1070,4,3,282
1071,3,3,283
1072,3,3,284
1073,4,4,285
1074,4,4,286
1075,3,3,286
1076,3,3,284
1077,3,2,282
1078,3,3,281
1079,3,3,283
1080,3,3,284
1081,4,2,285
1082,3,2,286
1083,3,2,286
1084,3,3,284
1085,4,3,282
1086,3,3,282
1087,3,3,283
1088,3,3,284
1089,3,4,285
1090,3,3,286
1091,3,2,284
1092,3,2,283
1093,3,2,281
1094,3,3,285
1095,2,2,286
1096,3,2,285
1097,3,2,284
1098,2,3,282
1099,3,3,283
1100,3,3,284
1101,3,3,285
1102,3,3,286
1103,3,2,286
1104,3,2,284
1105,3,2,282
1106,3,2,283
1107,2,2,285
1108,2,2,286
1109,2,2,285
1110,3,2,284
1111,2,2,282
1112,3,2,281
1113,3,3,283
1114,2,2,285
1115,3,3,285
1116,3,3,286
1117,2,2,285
1118,2,2,283
1119,2,2,282
1120,3,2,283
1121,3,2,284
1122,3,2,285
1123,2,2,286
1124,2,2,286
1125,2,1,285
1126,2,2,283
1127,3,2,282
1128,2,2,283
1129,3,2,284
1130,3,3,285
1131,3,2,286
1132,3,2,286
1133,2,2,284
1134,2,2,282
1135,2,1,282
1136,2,2,283
1137,2,1,284
1138,2,1,285
1139,2,2,286
1140,2,2,285
1141,2,2,283
1142,2,2,282
1143,2,2,283
1144,2,1,284
1145,2,2,285
1146,3,2,286
1147,2,2,285
1148,2,2,285
1149,2,1,283
1150,1,1,282
1151,2,1,282
1152,2,2,284
1153,2,2,285
1154,2,2,286
1155,3,1,286
1156,2,2,284
1157,3,2,283
1158,2,1,283
1159,2,2,284
1160,2,2,285
1161,2,2,285
1162,2,1,281
1163,2,1,283
1164,2,1,284
1165,1,1,285
1166,2,2,286
1167,2,2,285
1168,2,2,284
1169,2,2,282
1170,2,2,282
1171,2,1,283
1172,1,1,285
1173,2,2,286
1174,1,2,286
1175,2,2,282
1176,2,1,281
1177,2,1,283
1178,2,1,284
1179,2,1,285
1180,2,1,286
1181,2,2,285
1182,2,2,284
1183,2,2,282
1184,2,1,282
1185,3,1,284
1186,2,1,285
1187,2,0,283
1188,2,1,282
1189,2,1,283
1190,1,1,284
1191,2,2,285
1192,1,1,286
1193,1,1,285
1194,2,1,284
1195,2,1,282
1196,2,2,282
1197,2,2,283
1198,2,2,284
1199,2,1,285
1200,2,2,286
1201,2,1,285
1202,2,2,284
1203,1,1,282
1204,1,1,282
1205,2,1,283
1206,1,1,284
1207,1,1,286
1208,1,1,286
1209,2,1,285
1210,2,2,283
1211,2,2,281
1212,1,0,282
1213,2,1,283
1214,1,1,285
1215,2,1,286
1216,2,2,286
1217,2,1,283
1218,2,1,282
1219,1,1,283
1220,1,1,284
1221,1,1,285
1222,1,1,286
1223,2,1,286
1224,2,2,283
1225,2,1,281
1226,1,1,284
1227,1,1,285
1228,2,1,286
1229,1,1,285
1230,1,1,282
1231,1,1,285
1232,1,1,285
1233,2,1,286
1234,1,1,285
1235,2,1,283
1236,1,1,282
1237,2,1,283
1238,2,2,284
1239,2,2,285
1240,2,1,286
1241,2,1,286
1242,1,1,284
1243,2,1,282
1244,1,1,282
1245,1,1,283
1246,1,1,285
1247,1,0,286
1248,1,1,285
1249,1,1,283
1250,1,1,282
1251,1,1,283
1252,1,1,285
1253,2,1,285
1254,2,2,286
1255,1,1,285
1256,2,1,283
1257,1,0,281
1258,2,1,282
1259,1,2,284
1260,1,1,285
1261,1,1,285
1262,1,0,286
1263,1,1,285
1264,1,1,283
1265,1,1,282
1266,2,1,283
1267,1,1,284
1268,1,1,285
1269,1,1,285
1270,2,2,286
1271,1,1,284
1272,1,1,283
1273,1,0,282
1274,1,0,283
1275,1,1,284
1276,1,1,285
1277,1,1,286
1278,1,0,284
1279,1,1,282
1280,1,1,282
1281,1,1,283
1282,2,1,284
1283,2,1,286
1284,1,2,286
1285,1,1,285
1286,2,0,283
1287,1,1,282
1288,1,1,283
1289,1,1,284
1290,1,0,285
1291,1,0,286
1292,1,1,285
1293,1,1,284
1294,1,1,283
1295,2,1,282
1296,1,1,283
1297,2,1,284
1298,1,2,285
1299,2,1,286
1300,2,1,285
1301,1,0,284
1302,1,1,283
1303,1,1,282
1304,1,1,283
1305,1,1,284
1306,1,0,285
1307,1,0,286
1308,1,0,285
1309,1,1,283
1310,2,1,281
1311,2,1,282
1312,1,1,283
1313,1,1,284
1314,1,2,285
1315,1,1,285
1316,1,1,285
1317,2,0,283
1318,1,0,282
1319,1,0,283
1320,1,1,283
1321,1,1,285
1322,1,1,286
1323,1,0,286
1324,1,1,285
1325,1,1,283
1326,1,1,282
1327,2,1,283
1328,1,0,284
1329,1,1,285
1330,1,1,286
1331,1,2,286
1332,1,2,284
1333,1,0,283
1334,1,0,282
1335,1,1,283
1336,1,1,284
1337,1,0,286
1338,1,1,285
1339,1,1,284
1340,1,1,282
1341,1,1,282
1342,1,1,284
1343,1,0,285
1344,2,1,286
1345,1,1,286
1346,1,1,285
1347,1,1,284
1348,1,1,282
1349,1,1,283
1350,1,1,283
1351,1,1,285
1352,1,1,286
1353,1,0,286
1354,1,1,285
1355,1,0,283
1356,1,1,282
1357,2,2,283
1358,1,1,284
1359,1,1,285
1360,2,1,286
1361,2,1,286
1362,1,1,285
1363,1,1,283
1364,1,0,282
1365,1,0,283
1366,1,1,284
1367,1,1,285
1368,1,1,286
1369,1,1,286
1370,1,2,283
1371,1,1,282
1372,1,1,282
1373,1,0,283
1374,1,1,285
1375,1,2,286
1376,1,1,286
1377,1,0,285
1378,1,1,284
1379,1,1,282
1380,1,1,282
1381,1,1,284
1382,1,1,285
1383,1,0,285
1384,1,0,286
1385,2,1,285
1386,1,2,283
1387,1,1,282
1388,1,0,284
1389,1,1,285
1390,1,1,286
1391,1,1,286
1392,1,1,285
1393,1,1,283
1394,1,0,281
1395,1,0,283
1396,1,0,285
1397,1,1,286
1398,1,0,285
1399,1,1,284
1400,1,1,282
1401,1,1,282
1402,1,1,284
1403,1,1,285
1404,2,1,285
1405,1,1,286
1406,1,0,285
1407,1,0,283
1408,1,1,282
1409,1,1,283
1410,1,1,286
1411,1,1,285
1412,2,1,284
1413,1,0,282
1414,1,1,282
1415,1,1,284
1416,1,1,285
1417,2,1,286
1418,1,1,286
1419,1,1,285
1420,1,1,283
1421,1,1,282
1422,1,1,283
1423,1,0,284
1424,1,0,285
1425,1,1,285
1426,1,1,286
1427,1,1,285
1428,1,0,283
1429,1,1,282
1430,1,1,283
1431,1,1,284
1432,1,0,285
1433,1,0,286
1434,1,1,285
1435,1,1,284
1436,1,1,282
1437,1,1,281
1438,1,1,283
1439,1,1,284
1440,1,0,286
1441,1,0,286
1442,1,1,285
1443,1,1,284
1444,1,1,284
1445,1,1,285
1446,1,1,286
1447,1,0,286
1448,1,1,284
1449,1,1,283
1450,1,1,283
1451,0,0,284
1452,1,0,286
1453,1,1,285
1454,1,1,285
1455,1,1,283
1456,2,1,282
1457,1,1,284
1458,1,0,285
1459,2,1,285
1460,2,1,285
1461,1,1,284
1462,1,1,282
1463,1,0,281
1464,1,0,283
1465,1,1,285
1466,1,0,285
1467,1,0,286
1468,1,1,285
1469,1,1,283
1470,1,1,282
1471,1,1,282
1472,1,0,283
1473,1,0,285
1474,2,1,285
1475,1,1,286
1476,1,1,285
1477,1,1,282
1478,0,1,282
1479,1,1,284
1480,1,1,284
1481,1,0,285
1482,1,0,286
1483,1,1,285
1484,1,1,283
1485,1,1,282
1486,1,1,283
1487,1,1,284
1488,1,2,285
1489,1,1,286
1490,1,0,286
1491,1,0,284
1492,1,1,283
1493,1,1,281
1494,1,1,283
1495,1,0,284
1496,1,1,285
1497,1,0,286
1498,1,1,285
1499,1,1,283
1500,1,1,282
1501,1,1,282
1502,1,1,284
1503,1,1,285
1504,1,1,286
1505,1,0,285
1506,1,1,284
1507,0,1,283
1508,1,1,281
1509,1,1,282
1510,1,0,284
1511,1,0,285
1512,1,0,286
1513,1,0,285
1514,1,1,284
1515,1,1,282
1516,1,0,283
1517,2,1,285
1518,1,1,286
1519,1,0,285
1520,1,0,285
1521,1,0,283
1522,0,1,282
1523,0,0,283
1524,1,1,284
1525,0,0,285
1526,0,0,286
1527,1,0,285
1528,0,0,284
1529,1,1,283
1530,1,1,282
1531,1,0,283
1532,1,0,284
1533,1,0,285
1534,0,0,286
1535,0,0,285
1536,0,0,283
1537,1,1,282
1538,0,0,283
1539,0,1,284
1540,1,0,285
1541,0,0,286
1542,0,-1,286
1543,1,0,284
1544,1,1,281
1545,1,1,284
1546,1,1,285
1547,1,0,286
1548,1,0,285
1549,1,1,284
1550,1,0,282
1551,0,0,282
1552,0,0,283
1553,0,0,285
1554,0,0,285
1555,0,0,285
1556,1,1,285
1557,1,1,283
1558,0,0,282
1559,1,0,283
1560,1,0,284
1561,1,0,285
1562,1,1,286
1563,1,1,286
1564,1,0,284
1565,0,0,282
1566,1,0,282
1567,0,0,283
1568,0,0,285
1569,1,0,285
1570,0,0,286
1571,0,0,286
1572,1,0,283
1573,1,1,282
1574,1,0,282
1575,1,0,285
1576,1,0,286
1577,1,1,286
1578,1,0,284
1579,0,0,283
1580,0,0,281
1581,0,0,283
1582,0,0,284
1583,0,0,285
1584,1,0,286
1585,1,0,285
1586,1,1,283
1587,1,0,282
1588,1,0,282
1589,1,0,283
1590,0,0,284
1591,1,1,286
1592,1,1,286
1593,1,0,285
1594,0,1,283
1595,1,0,281
1596,0,0,283
1597,1,-1,284
1598,0,0,285
1599,0,0,286
1600,0,1,285
1601,1,1,284
1602,1,0,282
1603,1,1,282
1604,1,0,284
1605,1,1,285
1606,1,2,286
1607,1,1,284
1608,1,0,282
1609,1,0,283
1610,1,0,284
1611,1,0,285
1612,1,0,286
1613,1,1,284
1614,1,1,283
1615,1,1,281
1616,2,2,283
1617,1,0,284
1618,1,0,285
1619,1,1,286
1620,1,1,285
1621,1,0,284
1622,1,0,282
1623,1,1,282
1624,0,1,283
1625,1,0,285
1626,1,1,286
1627,1,0,285
1628,1,0,285
1629,1,1,283
1630,1,1,281
1631,1,1,283
1632,1,1,284
1633,1,1,285
1634,1,0,286
1635,2,0,283
1636,1,1,282
1637,0,1,282
1638,1,0,283
1639,1,1,286
1640,1,1,285
1641,1,0,286
1642,1,0,284
1643,1,1,283
1644,1,0,281
1645,1,1,283
1646,1,1,286
1647,1,1,285
1648,1,1,283
1649,1,1,282
1650,1,0,283
1651,1,0,284
1652,1,1,286
1653,1,1,286
1654,1,1,284
1655,1,1,283
1656,1,1,281
1657,1,0,283
1658,1,0,284
1659,1,1,286
1660,1,1,285
1661,1,1,285
1662,1,0,284
1663,1,1,282
1664,1,0,281
1665,1,0,283
1666,1,1,285
1667,1,1,286
1668,1,1,286
1669,1,1,285
1670,1,1,284
1671,1,1,282
1672,1,1,282
1673,1,1,283
1674,1,1,285
1675,2,1,286
1676,1,1,286
1677,1,0,285
1678,1,1,283
1679,1,1,281
1680,1,1,282
1681,1,0,284
1682,1,0,285
1683,0,0,286
1684,0,1,285
1685,1,1,284
1686,1,1,283
1687,1,1,282
1688,1,0,283
1689,1,0,284
1690,1,0,285
1691,2,1,286
1692,1,1,286
1693,1,1,284
1694,0,0,282
1695,1,0,283
1696,1,0,284
1697,1,1,285
1698,1,1,286
1699,1,0,285
1700,1,0,284
1701,1,1,282
1702,1,1,281
1703,1,1,283
1704,1,1,284
1705,1,1,285
1706,1,1,286
1707,1,0,285
1708,1,1,284
1709,1,0,282
1710,1,1,282
1711,1,0,283
1712,1,1,284
1713,1,0,285
1714,0,0,286
1715,1,0,286
1716,1,1,283
1717,1,1,282
1718,1,1,283
1719,1,0,284
1720,1,0,285
1721,1,1,286
1722,2,1,286
1723,1,1,284
1724,1,1,283
1725,1,1,282
1726,1,0,283
1727,1,0,284
1728,1,0,285
1729,1,0,286
1730,1,1,286
1731,1,1,284
1732,1,1,282
1733,1,2,281
1734,2,0,283
1735,1,0,284
1736,1,1,285
1737,1,1,286
1738,1,1,285
1739,1,1,284
1740,1,0,282
1741,1,0,282
1742,1,0,283
1743,1,1,284
1744,1,1,285
1745,1,1,285
1746,1,0,285
1747,1,1,283
1748,1,0,282
1749,1,1,282
1750,1,1,283
1751,1,1,285
1752,1,1,286
1753,1,1,285
1754,1,0,283
1755,1,0,282
1756,1,0,283
1757,1,0,284
1758,1,1,285
1759,1,1,286
1760,1,1,285
1761,1,1,284
1762,1,1,283
1763,1,0,281
1764,1,1,282
1765,1,1,284
1766,1,1,285
1767,1,1,286
1768,1,1,285
1769,1,0,284
1770,1,1,282
1771,1,0,282
1772,1,1,283
1773,1,1,284
1774,1,0,285
1775,0,0,285
1776,1,0,285
1777,1,1,284
1778,1,1,282
1779,1,1,282
1780,1,1,284
1781,1,0,285
1782,2,0,286
1783,1,1,285
1784,1,0,285
1785,1,1,283
1786,1,1,282
1787,1,1,283
1788,1,0,284
1789,1,0,285
1790,1,1,286
1791,1,0,285
1792,0,1,285
1793,1,1,283
1794,1,1,282
1795,1,1,283
1796,1,1,284
1797,1,0,285
1798,1,1,286
1799,1,1,285
1800,1,1,284
1801,0,0,283
1802,0,0,282
1803,1,0,283
1804,1,0,284
1805,1,1,285
1806,1,1,286
1807,1,1,285
1808,1,1,284
1809,1,0,282
1810,1,0,282
1811,1,0,283
1812,0,0,284
1813,1,1,285
1814,1,1,285
1815,1,1,283
1816,1,0,282
1817,1,0,283
1818,0,0,284
1819,1,1,285
1820,0,1,286
1821,1,1,285
1822,1,1,284
1823,1,0,283
1824,1,1,282
1825,1,1,283
1826,1,1,284
1827,1,1,285
1828,1,1,286
1829,1,1,285
1830,1,0,284
1831,1,0,283
1832,1,0,282
1833,1,0,283
1834,1,1,284
1835,1,1,285
1836,1,0,286
1837,1,1,286
1838,1,0,284
1839,1,1,282
1840,1,1,281
1841,1,1,284
1842,1,1,284
1843,1,1,286
1844,1,1,286
1845,1,0,285
1846,1,1,283
1847,1,1,282
1848,0,0,282
1849,0,0,284
1850,1,0,285
1851,1,0,286
1852,1,0,285
1853,1,1,285
1854,1,1,283
1855,1,1,282
1856,1,1,283
1857,1,1,284
1858,1,1,285
1859,1,1,286
1860,1,1,286
1861,1,0,284
1862,1,1,283
1863,1,0,281
1864,1,0,283
1865,1,0,284
1866,1,0,285
1867,1,0,286
1868,1,1,286
1869,1,1,284
1870,1,0,282
1871,1,1,281
1872,1,0,283
1873,1,0,284
1874,1,0,286
1875,1,0,284
1876,1,0,283
1877,1,1,281
1878,1,1,283
1879,1,1,284
1880,1,1,285
1881,1,0,286
1882,1,0,285
1883,1,1,284
1884,1,1,282
1885,1,1,282
1886,1,0,283
1887,1,1,285
1888,1,1,285
1889,2,1,286
1890,1,1,286
1891,1,1,284
1892,1,1,282
1893,0,0,282
1894,1,1,284
1895,1,0,284
1896,1,0,286
1897,0,0,286
1898,1,1,285
1899,1,1,282
1900,1,1,281
1901,1,1,283
1902,1,1,284
1903,1,1,285
1904,1,1,286
1905,1,0,286
1906,1,1,285
1907,1,1,282
1908,1,0,281
1909,1,0,283
1910,1,0,284
1911,1,0,285
1912,1,0,286
1913,1,1,286
1914,1,1,284
1915,1,1,282
1916,1,0,282
1917,1,0,284
1918,1,0,284
1919,1,1,285
1920,1,1,286
1921,1,1,286
1922,1,0,284
1923,0,0,282
