step,A0read,A1read,A2read
0,259,259,279
50,262,259,276
100,260,260,280
150,262,261,279
200,258,257,277
250,262,260,278
300,258,259,278
350,262,261,280
400,259,260,280
450,261,259,278
500,258,257,277
550,260,261,278
600,257,256,276
650,261,260,278
700,257,256,276
750,256,255,280
800,256,252,280
850,245,236,280
900,199,189,277
950,53,54,279
1000,32,8,281
1001,8,8,277
1002,8,8,279
1003,8,8,280
1004,8,7,281
1005,8,7,277
1006,8,7,277
1007,7,6,278
1008,8,7,280
1009,7,7,276
1010,7,6,279
1011,7,6,278
1012,6,6,276
1013,6,6,279
1014,6,6,280
1015,6,6,280
1016,7,6,276
1017,6,6,278
1018,7,6,280
1019,7,6,280
1020,6,5,278
1021,5,5,276
1022,6,6,280
1023,6,5,281
1024,6,6,278
1025,6,5,277
1026,5,5,278
1027,6,6,280
1028,6,6,280
1029,5,5,277
1030,5,5,276
1031,5,5,279
1032,5,5,276
1033,5,4,278
1034,5,5,280
1035,5,5,280
1036,5,5,280
1037,5,4,279
1038,4,4,276
1039,4,5,278
1040,5,4,279
1041,4,4,280
1042,4,4,280
1043,5,5,278
1044,4,4,276
1045,5,4,278
1046,4,4,279
1047,5,5,280
1048,5,4,280
1049,4,4,278
1050,4,4,276
1051,4,3,278
1052,4,4,279
1053,4,4,280
1054,4,4,280
1055,4,3,278
1056,4,4,276
1057,4,3,277
1058,4,4,279
1059,4,3,280
1060,4,4,280
1061,3,3,278
1062,3,3,276
1063,3,4,279
1064,3,3,280
1065,3,3,280
1066,4,3,277
1067,3,3,276
1068,3,3,278
1069,3,3,280
1070,4,4,280
1071,3,3,279
1072,3,3,276
1073,3,3,280
1074,4,2,277
1075,3,3,276
1076,4,3,278
1077,3,2,280
1078,2,3,280
1079,3,2,280
1080,3,3,277
1081,3,3,278
1082,3,3,280
1083,3,3,281
1084,3,3,278
1085,3,2,276
1086,3,2,278
1087,3,3,280
1088,3,3,280
1089,3,3,279
1090,3,2,277
1091,2,3,277
1092,3,2,279
1093,3,2,280
1094,3,2,280
