step,A0read,A1read,A2read
0,104,187,270
50,255,254,274
100,255,254,274
150,253,253,271
200,251,250,270
250,250,250,271
300,252,253,272
350,254,254,273
400,255,255,274
450,255,254,274
500,255,254,273
550,253,252,271
600,251,250,269
650,251,252,272
700,253,252,273
750,253,252,274
800,248,245,274
850,244,235,272
900,203,180,270
950,178,38,270
1000,39,7,272
1001,7,7,273
1002,7,7,274
1003,7,7,274
1004,7,7,272
1005,7,7,270
1006,6,6,270
1007,6,6,272
1008,6,7,273
1009,6,6,274
1010,6,6,274
1011,6,6,273
1012,6,5,271
1013,6,6,270
1014,5,6,272
1015,5,6,273
1016,6,6,274
1017,6,5,274
1018,6,5,272
1019,5,6,270
1020,5,6,270
1021,5,5,271
1022,5,5,273
1023,5,5,274
1024,6,5,274
1025,5,5,273
1026,4,4,271
1027,5,4,270
1028,5,5,271
1029,4,5,272
1030,4,5,274
1031,4,4,274
1032,4,4,273
1033,5,5,271
1034,4,5,270
1035,4,4,271
1036,4,4,274
1037,4,4,273
1038,4,5,271
1039,4,4,270
1040,4,4,271
1041,4,3,272
1042,4,4,273
1043,4,4,274
1044,4,4,274
1045,4,4,272
1046,4,4,270
1047,4,4,270
1048,3,4,272
1049,4,3,273
1050,4,3,274
1051,4,3,274
1052,4,3,273
1053,3,3,270
1054,3,3,269
1055,3,4,271
1056,3,3,273
1057,3,3,274
1058,3,3,274
1059,3,3,274
1060,3,3,271
1061,3,3,270
1062,3,3,271
1063,3,3,273
1064,3,4,274
1065,3,3,273
1066,3,3,270
1067,3,3,271
1068,3,3,273
1069,3,3,274
1070,3,2,274
1071,3,3,273
1072,3,3,271
1073,3,3,270
1074,3,3,271
1075,2,3,273
1076,3,3,274
1077,3,2,273
1078,3,3,272
1079,2,3,270
1080,2,2,270
1081,2,2,271
1082,3,3,273
1083,3,3,274
1084,2,3,274
1085,2,2,273
1086,2,2,271
1087,2,3,269
1088,3,3,271
1089,2,3,273
1090,2,3,273
1091,3,3,274
1092,3,2,273
1093,2,3,271
1094,2,2,270
1095,2,2,271
1096,2,3,272
1097,2,3,274
1098,2,2,272
1099,3,2,269
1100,2,3,271
1101,2,2,273
1102,2,3,274
1103,2,3,274
1104,2,2,272
1105,2,2,270
1106,2,2,272
1107,2,2,274
1108,2,2,273
1109,2,3,271
1110,2,3,270
1111,2,2,271
1112,2,2,272
1113,2,3,273
1114,2,2,274
1115,2,2,273
1116,1,2,271
1117,2,1,270
1118,2,2,272
1119,2,2,273
1120,2,1,274
1121,2,2,274
1122,1,2,273
1123,2,1,272
1124,2,2,270
1125,2,2,271
1126,2,2,273
1127,2,3,273
1128,2,2,274
1129,2,2,274
1130,2,2,272
1131,2,2,270
1132,2,2,270
1133,2,1,272
1134,1,2,273
1135,2,2,274
1136,1,1,274
1137,1,2,273
1138,2,2,271
1139,2,2,273
1140,1,2,274
1141,1,1,271
1142,1,2,273
1143,1,2,274
1144,1,2,273
1145,2,1,271
1146,2,1,270
1147,1,1,272
1148,2,2,273
1149,1,1,274
1150,1,2,273
1151,2,1,272
1152,1,2,270
1153,2,2,272
1154,1,1,273
1155,1,1,273
1156,1,1,274
1157,2,1,273
1158,1,1,270
1159,2,1,271
1160,1,2,273
1161,1,1,273
1162,2,2,274
1163,2,2,274
1164,1,1,272
1165,1,1,270
1166,1,2,271
1167,1,1,272
1168,1,2,273
1169,1,2,274
1170,1,1,274
1171,1,1,273
1172,1,1,271
1173,1,1,269
1174,1,1,271
1175,1,2,273
1176,1,1,273
1177,1,2,271
1178,1,2,270
1179,1,2,271
1180,1,2,273
1181,1,1,274
1182,1,1,274
1183,1,1,271
1184,1,2,270
1185,1,1,272
1186,1,2,274
1187,1,1,274
1188,1,1,274
1189,1,1,271
1190,1,1,269
1191,1,1,271
1192,1,1,273
1193,1,1,274
1194,1,2,272
1195,1,2,270
1196,2,2,272
1197,1,2,274
1198,1,1,273
1199,1,2,271
1200,1,1,270
1201,1,1,272
1202,1,1,274
1203,1,2,274
1204,1,2,272
1205,1,1,270
1206,1,1,269
1207,1,1,271
1208,1,1,273
1209,1,2,273
1210,1,1,274
1211,1,1,274
1212,1,1,272
1213,1,2,270
1214,1,1,270
1215,1,1,272
1216,1,1,273
1217,1,1,274
1218,0,1,272
1219,1,1,270
1220,1,1,269
1221,1,1,272
1222,1,2,274
1223,1,1,274
1224,1,2,274
1225,1,1,273
1226,1,1,270
1227,1,1,269
1228,1,1,271
1229,1,1,272
1230,1,1,274
1231,1,1,270
1232,1,1,271
1233,1,1,272
1234,1,1,273
1235,1,1,274
1236,1,2,274
1237,1,2,272
1238,1,1,270
1239,1,1,272
1240,1,0,273
1241,0,1,273
1242,1,1,271
1243,1,1,270
1244,1,1,272
1245,1,1,274
1246,1,1,274
1247,1,1,273
1248,1,1,272
1249,1,1,269
1250,1,1,273
1251,1,1,274
1252,1,1,274
1253,1,1,273
1254,1,1,271
1255,1,1,272
1256,1,1,273
1257,1,0,271
1258,1,1,270
1259,1,1,271
1260,1,0,272
1261,1,1,273
1262,1,1,274
1263,1,1,273
1264,1,1,271
1265,1,1,270
1266,1,1,271
1267,1,1,273
1268,1,1,274
1269,1,1,274
1270,1,1,273
1271,1,1,271
1272,1,0,269
1273,1,1,271
1274,1,1,273
1275,1,0,274
1276,1,1,273
1277,1,1,271
1278,1,1,270
1279,1,1,272
1280,1,1,273
1281,1,1,274
1282,0,1,274
1283,1,1,272
1284,1,1,269
1285,0,0,271
1286,1,1,272
1287,1,0,273
1288,1,1,274
1289,0,1,273
1290,1,1,271
1291,1,1,270
1292,1,1,270
1293,1,1,272
1294,1,1,273
1295,1,1,274
1296,1,1,273
1297,1,1,270
1298,1,1,272
1299,1,1,273
1300,0,1,274
1301,1,1,274
1302,1,1,273
1303,1,1,270
1304,1,1,269
1305,1,1,272
1306,0,1,273
1307,0,1,274
1308,1,1,274
1309,1,1,272
1310,1,1,271
1311,1,1,270
1312,1,0,271
1313,1,0,273
1314,1,1,273
1315,1,1,274
1316,1,1,273
1317,1,1,270
1318,1,1,271
1319,1,1,274
1320,1,1,274
1321,0,1,272
1322,1,1,271
1323,0,0,270
1324,1,1,271
1325,1,1,273
1326,1,0,273
1327,1,0,274
1328,1,1,273
1329,0,1,271
1330,0,1,270
1331,1,1,271
1332,1,1,272
1333,1,1,273
1334,1,1,274
1335,1,1,271
1336,1,1,271
1337,1,1,272
1338,1,1,274
1339,1,1,274
1340,1,1,273
1341,0,0,272
