step,A0read,A1read,A2read
0,0,253,272
50,252,251,270
100,253,253,274
150,255,255,274
200,254,253,272
250,251,251,270
300,251,251,271
350,253,253,272
400,254,254,274
450,255,254,274
500,255,254,273
550,253,253,272
600,252,251,271
650,250,250,270
700,251,250,272
750,251,250,273
800,251,244,274
850,238,229,274
900,206,181,272
950,181,50,271
1000,38,7,270
1001,7,7,272
1002,6,7,273
1003,7,6,273
1004,7,7,274
1005,7,6,274
1006,6,7,272
1007,6,6,270
1008,6,6,271
1009,6,6,272
1010,6,7,274
1011,6,6,274
1012,6,6,274
1013,6,6,272
1014,6,6,270
1015,6,6,270
1016,5,5,272
1017,6,5,273
1018,5,5,275
1019,5,5,274
1020,5,5,271
1021,5,5,270
1022,5,5,271
1023,5,5,272
1024,5,5,273
1025,5,5,274
1026,5,5,274
1027,5,4,273
1028,4,4,270
1029,4,4,270
1030,4,4,271
1031,4,4,272
1032,4,4,274
1033,4,4,274
1034,4,5,273
1035,4,4,271
1036,4,4,269
1037,4,4,274
1038,4,4,273
1039,4,4,272
1040,4,4,269
1041,4,4,272
1042,4,4,273
1043,4,4,274
1044,4,3,274
1045,3,3,273
1046,3,4,272
1047,3,4,270
1048,3,4,271
1049,3,4,272
1050,4,4,274
1051,4,4,274
1052,4,3,274
1053,3,4,272
1054,3,3,270
1055,3,3,271
1056,3,3,272
1057,3,3,273
1058,3,3,274
1059,3,3,274
1060,3,3,273
1061,3,4,271
1062,3,3,270
1063,3,3,272
1064,3,3,273
1065,3,3,274
1066,3,4,274
1067,3,3,273
1068,2,3,271
1069,3,3,269
1070,3,3,271
1071,3,3,273
1072,3,3,274
1073,3,3,274
1074,3,3,273
1075,3,3,272
1076,3,3,270
1077,2,3,271
1078,3,2,272
1079,3,3,274
1080,3,3,274
1081,2,3,273
1082,2,3,272
1083,2,2,270
1084,2,2,270
1085,2,3,272
1086,2,2,273
1087,2,2,274
1088,2,2,274
1089,2,2,273
1090,3,2,270
1091,3,2,270
1092,2,2,271
1093,2,3,273
1094,2,2,273
1095,3,3,274
1096,2,2,273
1097,2,2,271
1098,2,2,271
1099,2,2,273
1100,2,2,274
1101,2,2,274
1102,2,2,274
1103,2,2,271
1104,2,2,270
1105,2,3,271
1106,2,2,273
1107,2,2,274
1108,2,2,274
1109,2,2,273
1110,2,2,272
1111,2,1,270
1112,2,2,270
1113,2,2,273
1114,2,2,274
1115,2,2,269
1116,1,2,272
1117,2,2,273
1118,2,2,274
1119,2,2,274
1120,2,2,273
1121,2,3,270
1122,2,1,270
1123,2,1,272
1124,2,2,273
1125,2,2,274
1126,1,2,274
1127,2,2,273
1128,2,1,271
1129,1,2,269
1130,2,2,271
1131,2,2,273
1132,2,2,274
