step,A0read,A1read,A2read
0,249,247,271
50,246,246,270
100,248,249,273
150,250,250,274
200,248,247,270
250,246,247,271
300,249,249,273
350,251,251,274
400,250,249,273
450,248,247,270
500,247,247,272
550,249,249,274
600,251,251,275
650,250,249,273
700,246,245,270
750,244,243,272
800,242,239,274
850,233,224,274
900,202,177,273
950,103,33,271
1000,7,6,273
1001,7,6,274
1002,7,7,273
1003,6,6,270
1004,6,7,270
1005,6,6,273
1006,6,7,274
1007,6,6,274
1008,6,6,271
1009,6,6,271
1010,6,6,274
1011,6,6,272
1012,6,5,271
1013,6,5,274
1014,5,6,273
1015,5,5,273
1016,5,5,274
1017,5,5,272
1018,5,5,270
1019,5,5,273
1020,5,5,274
1021,5,5,271
1022,5,4,271
1023,5,5,274
1024,5,4,274
1025,5,5,272
1026,4,5,270
1027,4,4,272
1028,4,4,274
1029,5,4,274
1030,4,4,271
1031,4,3,270
1032,4,4,272
1033,4,4,273
1034,4,4,274
1035,4,4,274
1036,4,4,273
1037,4,4,271
1038,4,4,273
1039,4,4,274
1040,4,4,274
1041,4,3,272
1042,3,4,270
1043,3,3,271
1044,3,3,273
1045,3,3,274
1046,4,3,274
1047,3,3,273
1048,3,4,270
1049,3,3,270
1050,3,3,272
1051,3,3,273
1052,3,4,274
1053,3,3,274
1054,3,3,273
1055,3,3,271
1056,3,3,270
1057,3,3,272
1058,3,3,273
1059,3,3,274
1060,3,3,274
1061,3,3,272
1062,3,4,270
1063,3,3,271
1064,3,3,273
1065,2,3,274
1066,3,4,274
1067,3,3,274
1068,3,3,273
1069,2,2,270
1070,3,3,270
1071,2,2,272
1072,3,3,273
1073,2,2,274
1074,2,3,274
1075,2,2,273
1076,2,2,271
1077,3,3,270
1078,2,2,272
1079,2,3,273
1080,3,3,273
1081,3,3,275
1082,2,3,273
1083,2,2,272
1084,2,2,271
1085,2,3,272
1086,2,2,273
1087,2,2,274
1088,2,2,274
1089,2,3,272
1090,2,3,270
1091,2,2,270
1092,2,3,272
1093,2,2,273
1094,2,2,274
