step,A0read,A1read,A2read
0,104,250,274
50,248,246,270
100,248,248,272
150,249,249,273
200,251,251,274
250,250,249,273
300,248,246,270
350,246,248,273
400,250,250,274
450,250,250,274
500,251,250,274
550,250,249,272
600,248,246,270
650,246,246,271
700,247,247,273
750,247,246,274
800,244,240,274
850,240,223,273
900,222,174,271
950,172,35,269
1000,32,20,271
1001,7,6,273
1002,6,7,273
1003,7,6,274
1004,7,7,274
1005,6,6,270
1006,6,6,273
1007,6,6,274
1008,6,5,274
1009,6,6,272
1010,6,5,270
1011,5,6,272
1012,6,6,274
1013,5,5,275
1014,5,6,274
1015,5,5,272
1016,5,5,270
1017,5,6,271
1018,5,5,272
1019,5,5,273
1020,5,5,274
1021,5,6,274
1022,5,5,273
1023,4,4,270
1024,4,5,274
1025,4,5,273
1026,4,4,271
1027,4,4,270
1028,4,5,272
1029,4,4,273
1030,4,4,274
1031,5,4,275
1032,4,4,273
1033,4,4,271
1034,4,4,270
1035,4,4,271
1036,4,4,273
1037,4,4,271
1038,4,4,270
1039,4,4,272
1040,3,4,274
1041,3,4,274
1042,4,3,274
1043,3,3,270
1044,4,3,270
1045,4,4,272
1046,3,3,273
1047,4,3,274
1048,3,3,272
1049,3,4,270
1050,3,3,271
1051,3,3,272
1052,3,3,274
1053,3,4,275
1054,3,3,274
1055,3,3,272
1056,3,3,270
1057,3,3,271
1058,3,3,273
1059,3,3,274
1060,3,3,271
1061,3,3,272
1062,3,3,273
1063,2,3,274
1064,3,3,274
1065,3,3,272
1066,3,3,270
1067,3,2,274
1068,2,3,274
1069,3,3,273
1070,3,3,271
1071,2,2,270
1072,2,3,273
1073,2,3,274
1074,2,3,274
1075,3,2,273
1076,2,2,270
1077,2,2,270
1078,3,2,274
1079,2,2,274
1080,3,3,274
1081,2,3,273
1082,2,3,271
1083,2,3,270
1084,2,2,272
1085,2,2,273
1086,3,3,274
1087,2,3,274
1088,2,2,272
1089,2,2,270
1090,2,2,270
1091,2,2,272
1092,2,2,273
1093,3,2,274
1094,2,2,274
1095,2,2,273
1096,2,2,270
1097,2,2,273
1098,2,2,274
1099,2,2,275
1100,2,2,272
1101,2,2,270
1102,2,2,270
1103,2,2,272
1104,2,2,274
1105,2,2,274
1106,1,2,274
1107,2,2,270
1108,1,2,271
1109,2,2,273
1110,2,2,273
1111,2,2,275
1112,2,2,274
1113,2,2,272
1114,2,2,270
1115,2,3,271
1116,2,2,273
1117,2,2,274
1118,2,1,274
1119,1,2,272
1120,2,2,270
1121,2,2,272
1122,2,2,274
1123,2,2,274
1124,2,1,274
1125,2,1,272
1126,1,2,270
1127,1,2,270
1128,1,1,272
1129,2,2,273
1130,1,2,274
1131,1,1,274
1132,2,2,273
1133,2,2,271
1134,1,2,270
1135,2,1,272
1136,1,2,273
1137,2,2,274
1138,2,2,274
1139,1,1,273
1140,1,1,270
1141,1,1,272
1142,2,2,273
1143,1,1,274
1144,1,2,274
1145,1,1,273
1146,1,1,272
1147,2,2,270
1148,1,1,271
1149,2,2,272
1150,1,2,273
1151,2,2,274
1152,1,1,274
1153,1,2,273
1154,1,2,270
1155,1,1,270
1156,1,1,274
1157,1,1,274
1158,1,1,274
1159,1,1,271
1160,1,2,270
1161,1,1,272
1162,1,2,274
1163,2,1,274
1164,1,1,274
1165,1,1,272
1166,1,1,270
1167,1,1,270
1168,1,1,272
1169,1,1,273
1170,1,1,274
1171,1,1,275
1172,1,1,274
1173,1,1,272
1174,1,2,270
1175,1,1,271
1176,1,1,273
1177,1,1,274
1178,1,2,274
1179,1,1,273
1180,1,1,272
1181,1,1,270
1182,1,1,271
1183,1,1,273
1184,1,1,274
1185,1,1,275
1186,1,1,273
1187,1,1,272
1188,1,1,270
1189,1,1,272
1190,1,1,273
1191,1,2,274
1192,1,1,274
1193,1,1,274
1194,1,1,272
1195,1,1,270
1196,1,1,271
1197,1,1,272
1198,1,1,273
1199,1,0,275
1200,1,1,274
1201,1,1,272
1202,1,1,270
1203,0,1,270
1204,1,1,272
1205,1,1,273
1206,1,1,274
1207,1,1,273
1208,1,1,271
1209,1,1,270
1210,1,1,272
1211,1,1,273
1212,1,1,274
1213,1,1,275
1214,1,1,273
1215,1,1,270
1216,1,1,273
1217,2,0,274
1218,1,1,275
1219,1,1,274
1220,1,1,272
1221,1,1,270
1222,1,1,271
1223,0,1,272
1224,1,1,274
1225,1,1,274
1226,1,1,273
1227,1,2,271
1228,1,1,270
1229,1,1,272
1230,1,1,274
1231,1,1,274
1232,1,1,275
1233,0,1,273
1234,1,1,272
1235,1,1,270
1236,1,1,271
1237,1,1,272
1238,0,1,274
1239,1,1,275
1240,1,0,274
1241,1,1,271
1242,1,1,270
1243,1,1,272
1244,1,1,273
1245,1,1,274
1246,0,1,274
1247,1,1,274
1248,1,1,271
1249,0,1,270
1250,1,1,272
1251,0,1,273
1252,1,1,274
1253,1,1,274
1254,1,1,273
1255,1,1,271
1256,1,1,270
1257,1,1,272
1258,1,1,273
1259,0,2,274
1260,1,1,274
1261,1,1,274
1262,0,1,272
1263,1,1,270
1264,1,1,271
1265,1,1,273
1266,0,1,274
1267,1,0,274
1268,1,1,274
1269,1,1,271
1270,1,1,270
1271,1,1,272
1272,0,1,274
1273,1,1,274
1274,1,1,274
1275,1,1,270
1276,1,1,271
1277,1,0,272
1278,0,1,273
1279,1,1,274
1280,1,0,274
1281,1,1,273
1282,1,1,271
1283,0,1,270
1284,0,1,272
1285,1,1,273
1286,0,1,274
1287,1,1,274
1288,1,0,273
1289,0,1,271
1290,1,0,269
1291,1,1,272
1292,1,1,274
1293,1,1,274
1294,1,1,273
1295,1,0,271
1296,0,1,270
1297,1,0,271
1298,1,1,273
1299,0,1,273
1300,0,1,275
1301,1,1,274
1302,0,1,272
