step,A0read,A1read,A2read
0,141,285,306
50,286,287,309
100,287,288,309
150,286,286,306
200,284,285,307
250,286,288,309
300,288,288,309
350,287,287,308
400,285,286,306
450,281,287,308
500,288,289,310
550,288,288,309
600,286,285,306
650,284,285,307
700,286,287,309
750,286,285,310
800,280,280,309
850,278,266,307
900,246,230,307
950,142,120,309
1000,21,12,310
1001,10,11,306
1002,9,11,307
1003,10,11,309
1004,9,10,309
1005,9,10,309
1006,9,10,307
1007,9,10,306
1008,8,10,307
1009,8,10,309
1010,8,10,310
1011,8,10,309
1012,7,9,306
1013,8,9,307
1014,7,9,308
1015,7,9,309
1016,7,8,309
1017,7,9,308
1018,6,8,306
1019,6,8,308
1020,7,8,310
1021,7,8,309
1022,6,8,308
1023,6,7,307
1024,6,8,309
1025,6,7,310
1026,6,7,309
1027,6,7,306
1028,5,7,307
1029,5,7,308
1030,5,7,309
1031,6,7,310
1032,5,7,310
1033,6,7,309
1034,5,7,307
1035,5,6,306
1036,4,6,307
1037,5,6,309
1038,5,6,310
1039,5,6,309
1040,5,6,307
1041,4,6,306
1042,4,6,306
1043,5,6,308
1044,4,6,309
1045,5,6,310
1046,4,6,310
1047,4,5,309
1048,4,6,307
1049,4,6,306
1050,4,5,307
1051,4,6,309
1052,4,5,309
1053,4,5,310
1054,4,5,309
1055,4,6,309
1056,4,6,308
1057,4,5,306
1058,4,5,307
1059,4,5,308
1060,3,5,309
1061,3,5,310
1062,3,5,310
1063,3,5,308
1064,3,5,306
1065,3,4,307
1066,3,5,308
1067,3,5,308
1068,3,5,309
1069,3,4,310
1070,3,5,308
1071,3,5,307
1072,3,4,306
1073,3,4,307
1074,3,4,309
1075,3,5,309
1076,3,5,310
1077,3,4,310
1078,3,4,308
1079,3,4,306
1080,2,4,306
1081,3,4,308
1082,2,4,309
1083,3,4,310
1084,2,4,310
1085,3,4,310
1086,3,4,308
1087,2,4,306
1088,2,4,307
1089,3,4,308
1090,2,4,309
1091,2,4,309
1092,2,4,310
1093,3,4,308
1094,2,3,306
1095,2,4,306
1096,2,4,308
1097,2,3,309
1098,2,3,310
1099,2,3,309
1100,2,4,307
1101,2,4,306
1102,2,4,307
1103,2,3,308
1104,2,4,309
1105,2,4,310
1106,2,4,310
1107,2,4,309
1108,2,3,307
1109,2,3,306
1110,2,3,307
1111,2,3,308
1112,1,3,309
1113,2,3,310
1114,2,4,310
1115,2,3,309
1116,2,4,307
1117,2,3,306
1118,2,4,307
1119,1,3,308
1120,2,4,309
1121,2,4,311
1122,2,3,310
1123,2,3,309
1124,2,3,307
1125,1,3,307
1126,2,3,308
1127,1,3,309
1128,2,3,310
1129,2,2,310
1130,2,3,309
1131,2,3,308
1132,2,3,306
1133,1,3,307
1134,1,3,308
1135,1,3,309
1136,1,3,310
1137,1,3,310
1138,1,3,309
1139,1,3,308
1140,1,3,307
1141,1,3,307
1142,1,3,308
1143,1,3,309
1144,2,2,310
1145,1,3,310
1146,1,3,309
1147,1,3,307
1148,1,3,306
1149,1,3,307
1150,1,3,308
1151,1,3,309
1152,1,3,310
1153,1,3,310
1154,1,3,308
1155,1,3,307
1156,1,3,307
1157,1,2,308
1158,1,2,310
1159,1,2,310
1160,1,2,310
1161,1,2,308
1162,1,3,307
1163,1,2,307
1164,1,3,308
1165,1,2,309
1166,2,3,310
1167,1,3,310
1168,1,3,309
1169,1,3,308
1170,1,3,307
1171,1,3,307
1172,1,2,308
1173,1,2,309
1174,2,2,310
1175,1,2,310
1176,1,2,309
1177,0,3,308
1178,1,3,306
1179,1,3,308
1180,1,3,309
1181,1,2,310
1182,1,3,310
1183,0,3,310
1184,1,3,309
1185,1,2,307
1186,1,2,306
1187,1,2,308
1188,0,2,309
1189,1,2,310
1190,1,2,310
1191,1,2,310
1192,1,2,309
1193,0,2,307
1194,1,3,306
1195,1,2,308
1196,1,2,309
1197,1,3,310
1198,1,3,310
1199,1,2,310
1200,1,2,309
1201,0,2,307
1202,1,2,307
1203,1,2,308
1204,1,3,309
1205,1,1,310
1206,0,2,310
1207,1,2,310
1208,1,2,308
1209,1,2,306
1210,1,2,308
1211,1,2,308
1212,0,2,309
1213,1,3,310
1214,1,2,310
1215,0,2,309
1216,0,2,308
1217,1,2,307
1218,1,2,308
1219,0,2,309
1220,1,2,310
1221,1,2,309
1222,1,2,308
1223,1,3,307
1224,0,3,307
1225,1,3,308
1226,1,3,309
1227,1,2,310
1228,0,2,310
1229,1,2,308
1230,0,2,307
1231,1,2,306
1232,0,2,308
1233,0,2,309
1234,0,2,310
1235,0,2,310
1236,0,2,310
1237,1,2,309
1238,0,2,306
1239,0,2,308
1240,1,2,309
1241,1,2,310
1242,1,2,311
1243,1,2,309
1244,1,2,309
1245,1,2,307
1246,1,2,306
1247,0,2,307
1248,1,2,309
1249,0,2,310
1250,0,2,309
1251,0,2,307
1252,1,2,306
1253,1,2,308
1254,1,3,308
1255,0,2,309
1256,0,3,310
1257,0,2,310
1258,1,2,309
1259,0,2,308
1260,1,2,307
1261,1,2,308
1262,0,2,310
1263,0,1,310
1264,1,2,310
1265,0,2,309
1266,0,2,307
1267,0,2,307
1268,0,2,308
1269,0,2,309
1270,0,3,310
1271,0,3,310
1272,0,2,309
1273,0,2,307
1274,0,2,306
1275,0,2,307
1276,0,1,309
1277,0,1,310
1278,1,2,309
1279,0,2,308
1280,0,2,307
1281,1,2,307
1282,1,2,308
1283,0,2,308
1284,1,3,310
1285,0,2,310
1286,1,2,310
1287,0,2,308
1288,1,2,306
1289,0,1,307
1290,1,2,308
1291,1,2,309
1292,0,2,310
1293,0,1,310
1294,0,2,309
1295,0,2,308
1296,0,2,307
1297,1,2,307
1298,0,2,309
1299,0,2,309
1300,0,2,310
1301,0,2,310
1302,1,2,309
1303,0,2,307
1304,0,2,306
1305,0,1,308
1306,1,2,309
1307,0,2,309
1308,0,1,309
1309,0,2,310
1310,0,2,309
1311,0,2,307
1312,0,2,307
1313,0,2,308
1314,0,2,309
1315,1,2,309
1316,0,3,309
1317,1,2,310
1318,0,2,308
1319,0,2,307
1320,0,1,306
1321,0,2,308
1322,0,2,308
1323,0,2,310
1324,0,1,310
1325,1,2,309
1326,0,2,308
1327,0,2,306
1328,1,2,307
1329,0,2,308
1330,0,2,309
1331,0,3,310
1332,0,2,310
1333,0,2,309
1334,0,2,308
1335,0,1,307
1336,0,2,307
1337,0,2,309
1338,0,2,310
1339,0,2,310
1340,0,2,309
1341,0,2,308
1342,0,2,306
1343,0,1,308
1344,0,2,308
1345,0,2,309
1346,0,2,310
1347,1,2,310
1348,0,2,309
1349,0,2,307
1350,0,1,306
1351,0,2,308
1352,0,2,309
1353,0,1,310
1354,0,1,310
1355,0,2,309
1356,0,2,308
1357,0,2,307
1358,0,2,306
1359,1,2,308
1360,0,2,309
1361,0,3,309
1362,0,2,310
1363,0,2,309
1364,0,2,308
1365,0,2,307
1366,0,1,307
1367,0,1,308
1368,0,2,309
1369,0,1,310
1370,0,1,311
1371,0,2,310
1372,0,2,308
1373,0,2,306
1374,0,2,307
1375,0,2,309
1376,0,2,309
1377,0,2,310
1378,0,2,310
1379,0,2,308
1380,0,2,307
1381,0,1,306
1382,0,2,308
1383,0,2,308
1384,0,2,309
1385,0,1,310
1386,0,1,310
1387,1,2,309
1388,0,2,307
1389,0,1,306
1390,0,1,308
1391,0,2,309
1392,0,2,310
1393,0,2,310
1394,0,1,309
1395,0,2,309
1396,0,2,307
1397,0,2,308
1398,0,1,308
1399,0,1,310
1400,0,1,310
1401,0,1,309
1402,1,2,308
1403,0,2,306
1404,0,2,307
1405,0,1,308
1406,0,1,309
1407,0,2,310
1408,0,2,310
1409,0,2,309
1410,1,2,307
1411,0,2,306
1412,0,1,308
1413,0,2,309
1414,0,1,309
1415,0,1,310
1416,0,1,309
1417,0,2,308
1418,0,2,307
1419,0,2,306
1420,0,2,308
1421,0,2,308
1422,0,2,310
1423,1,2,310
1424,0,2,307
1425,0,1,306
1426,0,1,308
1427,0,1,309
1428,0,1,310
1429,0,1,310
1430,0,2,309
1431,0,2,309
1432,0,2,306
1433,0,2,308
1434,1,2,309
1435,1,2,310
1436,0,1,310
1437,0,2,308
1438,1,2,306
1439,0,2,307
1440,0,2,308
1441,0,2,309
1442,1,1,310
1443,0,1,309
1444,0,2,307
1445,0,2,307
1446,0,2,309
1447,0,2,310
1448,0,2,310
1449,0,2,308
1450,0,2,307
1451,0,1,306
1452,0,2,308
1453,0,2,308
1454,0,1,310
1455,0,1,310
