step,A0read,A1read,A2read
0,1,267,286
50,268,267,286
100,265,265,284
150,266,266,285
200,267,267,287
250,268,267,286
300,266,266,284
350,264,263,282
400,264,264,284
450,266,265,285
500,267,267,287
550,268,266,286
600,266,264,284
650,264,263,282
700,263,263,285
750,265,262,286
800,261,258,286
850,258,244,286
900,243,201,285
950,197,66,282
1000,59,8,284
1001,9,8,285
1002,9,9,286
1003,9,9,286
1004,9,8,286
1005,8,8,285
1006,7,8,283
1007,7,7,283
1008,8,7,284
1009,7,7,286
1010,7,7,287
1011,7,7,285
1012,7,6,284
1013,7,6,282
1014,7,7,283
1015,7,7,285
1016,7,7,286
1017,6,7,286
1018,7,7,286
1019,6,6,284
1020,6,6,283
1021,6,6,285
1022,6,5,286
1023,6,5,286
1024,6,6,285
1025,6,5,283
1026,6,6,282
1027,6,6,284
1028,6,6,285
1029,6,5,286
1030,6,5,286
1031,6,5,284
1032,5,4,282
1033,5,4,283
1034,5,4,285
1035,5,5,285
1036,5,5,285
1037,6,5,283
1038,5,5,286
1039,5,4,285
1040,4,4,284
1041,4,4,282
1042,4,4,284
1043,5,4,285
1044,4,4,286
1045,4,4,286
1046,4,4,286
1047,5,4,284
1048,5,5,282
1049,5,4,284
1050,5,4,285
1051,5,4,286
1052,5,4,287
1053,4,3,284
1054,4,3,283
1055,4,3,283
1056,4,3,284
1057,4,4,285
1058,4,4,286
1059,4,4,286
1060,4,4,284
1061,4,4,282
1062,4,4,283
1063,4,4,285
1064,4,4,286
1065,4,3,286
1066,4,3,286
1067,4,3,284
1068,3,2,282
1069,3,3,284
1070,3,3,285
1071,3,3,286
1072,3,3,286
1073,4,4,284
1074,3,4,282
1075,3,3,284
1076,4,3,285
1077,3,3,286
1078,3,3,286
1079,3,3,285
1080,3,3,283
1081,3,3,283
1082,3,3,285
1083,3,3,286
1084,3,3,286
1085,3,3,285
1086,3,3,283
1087,3,2,282
1088,3,3,284
1089,3,2,285
1090,3,3,286
1091,3,3,286
1092,3,2,285
1093,3,2,283
1094,3,2,282
1095,3,2,284
1096,3,2,285
1097,2,3,286
1098,3,3,285
1099,3,3,283
1100,3,3,283
1101,3,2,284
1102,3,3,286
1103,3,3,286
1104,3,3,286
1105,3,2,284
1106,2,2,282
1107,2,2,283
1108,2,2,284
1109,3,1,285
1110,3,2,286
1111,2,2,286
1112,3,2,284
1113,2,2,282
1114,3,2,283
1115,3,2,284
1116,3,2,286
1117,3,3,286
1118,2,2,286
1119,2,2,284
1120,2,2,282
1121,2,2,283
1122,2,2,285
1123,2,2,286
1124,2,2,286
1125,2,1,286
1126,2,1,284
1127,3,2,282
1128,2,1,283
1129,2,2,284
1130,3,2,286
1131,2,3,285
1132,2,2,285
1133,2,2,283
1134,2,2,282
1135,2,2,283
1136,2,2,285
1137,1,2,286
1138,2,2,286
1139,2,1,285
1140,2,2,283
1141,2,1,282
1142,2,1,284
1143,2,2,285
1144,3,1,286
1145,2,1,286
1146,2,1,285
1147,2,1,282
1148,1,1,282
1149,2,1,284
1150,2,2,285
1151,2,2,286
1152,2,2,286
1153,2,2,285
1154,2,2,282
1155,2,2,282
1156,2,2,284
1157,2,2,286
1158,2,2,286
1159,2,2,285
1160,2,2,283
1161,2,2,282
1162,2,1,283
1163,2,1,285
1164,2,1,286
1165,1,1,286
1166,2,1,284
1167,2,1,282
1168,2,1,282
1169,2,1,284
1170,2,1,285
1171,3,1,286
1172,2,2,287
1173,2,2,285
1174,1,2,283
1175,1,1,283
1176,2,2,284
1177,1,2,286
1178,2,1,286
1179,1,2,286
1180,2,2,285
1181,2,2,283
1182,2,2,283
1183,2,2,285
1184,2,2,286
1185,2,2,286
1186,2,1,286
1187,1,1,284
1188,2,1,282
1189,1,0,283
1190,1,1,284
1191,1,1,286
1192,2,1,287
1193,2,1,284
1194,2,1,283
1195,2,1,283
1196,2,1,285
1197,2,1,286
1198,2,2,286
1199,2,2,286
1200,2,2,285
1201,1,2,284
1202,2,2,282
1203,2,1,284
1204,1,2,285
1205,1,1,286
1206,1,1,286
1207,2,2,286
1208,2,1,284
1209,2,1,282
1210,2,1,283
1211,2,1,284
1212,2,1,286
1213,1,1,286
1214,2,1,286
1215,2,1,284
1216,1,1,282
1217,1,1,285
1218,2,1,286
1219,1,1,286
1220,2,1,286
1221,2,1,283
1222,1,1,282
1223,1,1,283
1224,2,2,285
1225,2,2,286
1226,2,2,286
1227,2,1,286
1228,1,1,284
1229,1,1,283
1230,1,1,284
1231,1,1,285
1232,2,1,286
1233,1,1,286
1234,1,1,286
1235,1,1,284
1236,2,1,282
1237,2,1,282
1238,2,1,285
1239,2,1,285
1240,2,1,287
1241,1,1,286
1242,2,1,284
1243,2,1,282
1244,1,1,283
1245,1,0,285
1246,1,1,286
1247,2,1,286
1248,1,1,286
1249,2,1,284
1250,1,1,282
1251,1,2,284
1252,1,2,285
1253,2,2,286
1254,2,2,286
1255,1,1,285
1256,1,1,284
1257,1,1,282
1258,1,1,283
1259,1,1,285
1260,1,1,286
1261,1,1,286
1262,1,1,286
1263,1,1,283
1264,2,1,283
1265,1,1,284
1266,1,1,286
1267,1,1,287
1268,2,1,286
1269,1,0,286
1270,1,1,283
1271,1,1,283
1272,1,1,285
1273,1,1,286
1274,1,0,286
1275,1,1,286
1276,2,1,285
1277,2,1,282
1278,1,1,284
1279,2,1,285
1280,2,2,286
1281,2,1,286
1282,1,1,284
1283,1,1,282
1284,1,1,284
1285,1,1,285
1286,1,1,286
1287,1,1,286
1288,1,1,285
1289,1,1,283
1290,1,1,282
1291,1,1,284
1292,1,1,285
1293,2,1,286
1294,1,1,286
1295,1,1,284
1296,1,0,282
1297,1,0,283
1298,1,0,284
1299,1,0,286
1300,1,1,286
1301,1,0,286
1302,1,1,284
1303,2,1,282
1304,2,1,284
1305,1,2,286
1306,1,1,286
1307,1,1,284
1308,1,1,282
1309,1,1,285
1310,1,1,286
1311,1,1,284
1312,1,1,284
1313,2,2,286
1314,2,1,286
1315,2,1,286
1316,1,0,284
1317,1,0,285
1318,1,0,286
1319,1,1,283
1320,1,1,282
1321,2,1,284
1322,1,1,286
1323,1,1,285
1324,1,1,283
1325,1,1,282
1326,1,1,284
1327,1,1,285
1328,1,1,286
1329,1,1,287
1330,1,1,286
1331,1,1,283
1332,1,1,282
1333,1,1,284
1334,2,0,285
1335,2,1,286
1336,1,1,286
1337,1,0,284
1338,1,1,282
1339,1,0,284
1340,2,1,285
1341,1,1,286
1342,1,1,286
1343,1,1,286
1344,1,1,284
1345,1,1,282
1346,2,1,283
1347,1,1,284
1348,1,1,286
1349,1,1,286
1350,1,0,286
1351,1,0,284
1352,1,1,282
1353,2,0,283
1354,1,0,285
1355,1,1,285
1356,1,1,286
1357,1,1,286
1358,1,1,285
1359,1,1,282
1360,1,1,283
1361,1,2,284
1362,1,1,286
1363,1,2,286
1364,1,1,285
1365,1,1,284
1366,1,1,282
1367,1,1,284
1368,1,0,285
1369,1,0,286
1370,1,1,286
1371,1,0,286
1372,2,1,284
1373,1,0,282
1374,1,1,283
1375,1,1,285
1376,1,1,286
1377,1,1,286
1378,1,0,286
1379,1,1,284
1380,1,0,282
1381,1,0,284
1382,1,0,285
1383,1,0,286
1384,1,0,286
1385,1,1,286
1386,1,1,284
1387,1,1,282
1388,2,0,284
1389,1,1,286
1390,1,1,286
1391,1,1,286
1392,1,0,285
1393,1,0,282
1394,1,1,284
1395,1,1,285
1396,1,1,285
1397,1,1,282
1398,2,1,283
1399,1,1,284
1400,1,1,285
1401,2,1,286
1402,1,1,285
1403,1,1,283
1404,1,1,282
1405,1,0,286
1406,2,1,285
1407,1,1,282
1408,1,1,284
1409,1,0,284
1410,1,1,285
1411,1,1,287
1412,1,1,286
1413,2,0,282
1414,1,0,284
1415,1,0,286
1416,1,0,286
1417,1,0,285
1418,1,0,283
1419,1,0,282
1420,2,1,284
1421,1,1,285
1422,2,1,286
1423,1,0,286
1424,1,0,284
1425,1,0,282
1426,1,0,284
1427,1,0,284
1428,1,0,286
1429,1,0,287
1430,1,0,285
1431,1,0,283
1432,1,1,282
1433,1,1,284
1434,1,1,285
1435,1,1,286
1436,1,0,286
1437,1,0,285
1438,1,0,282
1439,1,0,283
1440,1,0,285
1441,1,1,285
1442,1,0,287
1443,1,1,286
1444,1,1,285
1445,0,1,283
1446,2,1,282
1447,1,1,284
1448,1,1,285
1449,1,1,286
1450,1,1,286
1451,1,1,283
1452,0,1,282
1453,1,0,284
1454,1,0,286
1455,1,0,286
1456,1,0,283
1457,1,0,285
1458,2,1,286
1459,1,1,286
1460,1,0,285
1461,1,1,283
1462,1,0,282
1463,1,0,283
1464,1,0,285
1465,1,0,286
1466,1,0,286
1467,1,0,285
1468,1,0,283
1469,1,0,284
1470,1,1,285
1471,1,1,286
1472,1,1,286
1473,1,0,285
1474,1,0,283
1475,1,0,282
1476,1,0,284
1477,1,0,285
1478,1,0,286
1479,1,0,286
1480,1,1,286
1481,1,1,284
1482,1,1,282
1483,1,1,284
1484,1,1,285
1485,2,1,286
1486,2,1,286
1487,1,1,285
1488,2,1,284
1489,1,1,282
1490,1,1,284
1491,1,1,286
1492,1,1,286
1493,1,1,286
1494,1,1,284
1495,1,1,282
1496,1,1,284
1497,1,1,285
1498,1,1,286
1499,1,2,287
1500,1,1,285
1501,1,1,283
1502,1,1,282
1503,1,1,283
1504,1,1,286
1505,1,1,286
1506,1,1,286
1507,1,1,285
1508,1,1,283
1509,1,1,282
1510,1,1,283
1511,1,1,285
1512,2,2,286
1513,1,1,286
1514,1,1,285
1515,1,1,283
1516,1,1,285
1517,1,1,286
1518,1,1,284
1519,1,1,285
1520,2,1,286
1521,1,1,286
1522,1,1,285
1523,1,0,283
1524,1,0,284
1525,0,0,287
1526,1,0,285
1527,1,0,283
1528,2,1,283
1529,1,0,285
1530,1,1,286
1531,1,1,286
1532,1,0,286
1533,1,0,284
1534,1,0,282
1535,1,1,284
1536,1,0,286
1537,1,1,286
1538,1,0,286
1539,2,1,285
1540,1,1,283
1541,1,1,283
1542,1,1,284
1543,1,1,285
1544,1,1,286
1545,1,1,286
1546,1,0,284
1547,1,0,282
1548,1,1,284
1549,0,0,285
1550,1,0,286
1551,1,1,286
1552,1,0,285
1553,1,1,283
1554,1,1,283
1555,1,0,284
1556,1,1,286
1557,1,1,286
1558,1,0,284
1559,0,0,282
1560,1,0,284
1561,1,0,285
1562,1,0,286
1563,1,0,286
1564,1,0,285
1565,1,0,283
1566,1,1,282
1567,1,0,284
1568,1,0,285
1569,1,1,286
1570,1,0,286
1571,1,0,284
1572,1,0,282
1573,1,0,283
1574,1,0,285
1575,1,0,286
1576,1,1,284
1577,1,1,283
1578,1,1,283
1579,1,1,284
1580,1,1,285
1581,1,2,287
1582,1,1,286
1583,1,1,284
1584,1,1,282
1585,1,1,284
1586,1,1,285
1587,1,1,286
1588,1,0,286
1589,1,1,285
1590,2,1,283
1591,1,1,282
1592,1,1,284
1593,1,0,285
1594,2,0,286
1595,1,0,286
1596,1,0,284
1597,1,0,283
1598,0,0,283
1599,1,0,285
1600,1,0,286
1601,1,0,286
1602,1,0,285
1603,1,1,283
1604,1,0,282
1605,1,1,283
1606,2,1,285
1607,1,1,286
1608,2,0,287
1609,1,0,285
1610,1,0,282
1611,1,0,283
1612,1,0,285
1613,1,1,286
1614,1,1,287
1615,1,1,283
1616,1,1,285
1617,1,2,286
1618,1,1,287
1619,1,1,286
1620,1,1,284
1621,1,1,283
1622,0,1,283
1623,1,1,284
1624,1,1,285
1625,1,1,287
1626,0,1,286
1627,1,1,284
1628,1,1,283
1629,1,1,283
1630,1,1,284
1631,1,1,285
1632,2,2,286
1633,1,1,287
