step,A0read,A1read,A2read
0,59,251,271
50,251,249,269
100,249,250,270
150,252,252,271
200,253,253,273
250,254,253,272
300,253,251,270
350,250,250,268
400,251,251,271
450,253,253,272
500,253,253,273
550,254,253,273
600,253,253,272
650,251,251,270
700,250,249,269
750,248,245,269
800,245,242,271
850,242,226,272
900,228,183,273
950,129,114,273
1000,41,7,272
1001,7,7,270
1002,7,7,269
1003,7,6,270
1004,6,6,271
1005,6,6,273
1006,6,8,273
1007,6,7,273
1008,6,7,272
1009,6,6,269
1010,5,6,269
1011,6,6,271
1012,6,6,272
1013,6,6,273
1014,5,6,273
1015,5,5,273
1016,5,6,271
1017,6,5,269
1018,5,5,269
1019,5,5,270
1020,5,6,272
1021,5,6,273
1022,5,5,273
1023,5,5,272
1024,5,5,271
1025,4,5,269
1026,5,4,270
1027,5,5,271
1028,4,5,272
1029,5,5,273
1030,4,4,273
1031,4,5,272
1032,4,5,270
1033,4,4,269
1034,4,4,270
1035,4,4,272
1036,4,4,273
1037,4,4,273
1038,4,5,270
1039,4,4,269
1040,4,4,270
1041,3,4,271
1042,4,4,272
1043,4,3,273
1044,4,4,273
1045,4,4,272
1046,4,4,270
1047,4,4,269
1048,3,4,270
1049,3,4,272
1050,3,4,273
1051,3,4,273
1052,3,4,273
1053,3,3,269
1054,3,3,271
1055,3,3,272
1056,3,3,273
1057,3,3,273
1058,3,4,272
1059,3,4,271
1060,3,3,269
1061,3,3,269
1062,3,3,271
1063,2,3,271
1064,3,3,273
1065,3,4,274
1066,3,3,273
1067,3,4,271
1068,3,2,269
1069,3,3,269
1070,2,3,271
1071,3,3,272
1072,3,3,273
1073,3,3,273
1074,3,3,273
1075,3,2,271
1076,2,3,269
1077,3,3,269
1078,2,3,270
1079,3,3,272
1080,3,4,273
1081,3,3,273
1082,2,2,273
1083,2,2,271
1084,2,2,269
1085,2,2,269
1086,2,3,271
1087,2,3,273
1088,2,3,273
1089,2,2,273
1090,2,2,273
1091,2,3,270
1092,2,3,269
1093,2,3,270
1094,2,3,271
1095,2,3,273
1096,2,2,273
1097,3,2,273
1098,2,2,270
1099,2,2,269
1100,2,2,271
1101,2,2,272
1102,2,2,273
1103,2,2,273
1104,2,3,273
1105,2,3,271
1106,2,2,269
1107,2,2,270
1108,2,2,271
1109,2,2,272
1110,2,2,273
1111,2,2,273
1112,1,2,272
1113,2,2,270
1114,2,2,269
1115,2,2,270
1116,2,2,272
1117,2,2,273
1118,2,2,273
1119,2,2,273
1120,1,2,272
1121,1,2,270
1122,2,2,269
1123,1,3,271
1124,2,2,272
1125,1,2,273
1126,1,2,274
1127,1,2,273
1128,2,2,271
1129,2,2,269
1130,2,2,270
1131,1,2,271
1132,1,2,272
1133,2,2,273
1134,1,1,274
1135,1,2,272
1136,2,1,271
1137,1,1,270
1138,1,3,269
1139,1,2,271
1140,1,2,272
1141,2,2,273
1142,1,2,274
1143,2,2,273
1144,1,2,271
1145,1,2,269
1146,2,1,270
1147,2,2,271
1148,1,2,272
1149,2,2,273
1150,1,2,273
1151,1,2,273
1152,2,1,270
1153,1,2,269
1154,2,2,270
1155,1,2,272
1156,1,1,273
1157,1,2,273
1158,1,1,272
1159,1,2,270
1160,1,2,269
1161,1,2,271
1162,0,2,272
1163,1,1,273
1164,1,1,273
1165,2,1,273
1166,1,1,272
1167,1,2,269
1168,1,2,269
1169,1,1,271
1170,1,2,272
1171,2,2,273
1172,1,1,273
1173,1,1,273
1174,1,2,271
1175,1,2,269
1176,1,1,269
1177,1,2,271
1178,1,2,272
1179,1,1,273
1180,1,1,274
1181,1,2,272
1182,1,1,271
1183,1,2,270
1184,1,2,270
1185,1,2,271
1186,1,1,272
1187,1,2,274
1188,1,2,273
1189,1,1,272
1190,1,2,271
1191,1,1,269
1192,1,1,270
1193,1,1,272
1194,1,1,273
1195,1,1,273
1196,1,1,273
1197,1,2,272
1198,1,2,270
1199,1,1,269
1200,1,2,271
1201,1,1,272
1202,1,1,273
1203,1,1,274
1204,1,1,273
1205,1,2,271
1206,0,2,269
1207,1,2,269
1208,1,1,271
1209,1,1,272
1210,1,1,273
1211,1,1,274
1212,1,1,273
1213,1,1,271
1214,1,1,270
1215,1,2,270
1216,1,1,271
1217,1,1,273
1218,1,1,273
1219,1,1,272
1220,0,1,269
1221,0,1,270
1222,1,1,271
1223,1,1,273
1224,1,1,273
1225,1,1,274
1226,1,1,273
1227,1,2,271
1228,1,1,269
1229,1,1,270
1230,1,2,271
1231,1,1,273
1232,1,2,273
1233,1,1,273
1234,1,1,273
1235,1,2,271
1236,0,1,269
1237,1,1,270
1238,1,1,271
1239,0,2,272
1240,0,1,274
1241,1,1,273
1242,1,1,273
1243,1,1,270
1244,1,2,269
1245,1,1,271
1246,1,1,271
1247,1,2,273
1248,1,2,274
1249,1,1,273
1250,1,1,272
1251,1,1,270
1252,1,1,269
1253,1,1,271
1254,1,1,272
1255,1,0,273
1256,1,0,273
1257,1,1,273
1258,1,1,272
1259,1,1,270
1260,1,1,269
1261,1,1,271
1262,1,1,272
1263,1,1,273
1264,1,1,273
1265,1,1,273
1266,1,0,271
1267,0,1,269
1268,1,1,270
1269,0,1,271
1270,0,1,272
1271,1,1,273
1272,1,1,273
1273,1,1,273
1274,1,1,271
1275,0,1,270
1276,1,1,270
1277,0,2,273
1278,1,1,274
1279,1,1,272
1280,1,1,270
1281,0,1,269
1282,1,1,271
1283,1,1,272
1284,1,1,273
1285,1,1,273
1286,1,1,272
1287,1,1,270
1288,1,1,270
1289,1,2,272
1290,1,1,273
1291,1,1,274
1292,1,1,272
1293,1,1,270
1294,1,1,270
1295,1,1,271
1296,0,0,273
1297,1,1,274
1298,1,1,273
1299,1,1,272
1300,1,1,269
1301,1,1,270
1302,1,1,272
1303,1,1,273
1304,1,1,274
1305,0,1,272
1306,1,1,270
1307,1,1,269
1308,1,0,271
1309,1,1,272
1310,1,1,273
1311,0,0,274
1312,1,2,273
1313,1,1,272
1314,1,1,270
1315,1,1,269
1316,0,1,271
1317,1,0,272
1318,0,1,273
1319,0,2,274
1320,0,1,273
1321,1,1,272
1322,0,1,270
1323,1,1,269
1324,0,1,271
1325,1,1,272
1326,0,1,273
1327,1,1,274
1328,0,1,273
1329,1,2,271
1330,1,1,270
1331,1,1,270
1332,0,1,271
1333,1,1,272
1334,1,1,273
1335,1,1,273
1336,1,1,272
1337,1,1,269
1338,1,0,271
1339,0,1,272
1340,1,1,273
1341,0,1,274
1342,0,1,273
1343,1,1,272
1344,0,1,270
1345,1,1,269
1346,1,1,270
1347,1,1,272
1348,1,1,273
1349,0,2,274
1350,1,1,273
1351,0,1,272
1352,0,1,270
1353,1,1,269
1354,1,0,271
1355,1,1,272
1356,1,1,273
1357,1,1,274
1358,1,1,273
1359,1,1,272
1360,0,1,269
1361,0,1,271
1362,0,1,272
1363,1,1,273
1364,1,1,274
1365,0,1,273
1366,1,1,271
1367,1,1,270
1368,0,1,270
1369,0,1,271
1370,1,1,272
1371,1,0,273
1372,0,0,273
1373,0,1,273
1374,0,1,272
1375,1,1,270
1376,1,1,270
1377,0,1,272
1378,0,0,272
1379,1,1,273
1380,1,1,273
1381,1,0,273
1382,0,1,271
1383,1,1,269
1384,0,1,270
1385,1,1,271
1386,0,0,273
1387,1,1,274
1388,1,0,274
1389,1,0,272
1390,0,1,271
1391,0,1,269
1392,1,1,271
1393,1,1,271
1394,0,1,273
1395,1,1,274
1396,1,0,272
1397,1,1,269
1398,0,1,271
1399,0,1,273
1400,0,1,274
1401,1,1,273
1402,1,1,272
